ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," SN Thakur to Priyam Garg, no run, a dot ball to finish things - slower wide ball outside off, close to the tramlines, Garg swings and misses. SRH finish with 164 on the board ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, SN Thakur,0,0,,wide,
19.5," SN Thakur to Abdul Samad, 1 run, this is an excellent final over from Shardul, the wide yorker and Samad can't get any decent connection on the swipe, just a single ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, SN Thakur,1,0,yorker,wide,
19.4," SN Thakur to Abdul Samad, 2 runs, very full and well wide of off, Samad slaps it without any timing, off the toe-end and the ball rolled wide of extra-cover, comes back for the second ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, SN Thakur,2,0,Full,wide,cover
19.3," SN Thakur to Abdul Samad, 2 runs, the slower full-toss outside off, Samad went way too hard on the swipe, lost his poise and skewed it towards long-off for a couple ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, SN Thakur,2,0,Full toss,off side,long-off
19.2," SN Thakur to Abdul Samad, no run, very full and very wide of off, Samad reaches out and mistimes the drive to backward point ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, SN Thakur,0,0,Full,wide,backward point
19.1," SN Thakur to Priyam Garg, 1 run, short of a good length and just outside off, Garg was looking to muscle it back past the bowler, lost his shape and slices it over backward point for a single ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, SN Thakur,1,0,Short,off side,backward point
19.1," SN Thakur to Priyam Garg, no ball, Garg has been caught at extra-cover, but it's a front-foot no-ball from Shardul - full and wide of off, he reached out and slapped it straight to extra-cover ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, SN Thakur,no ball,1,Full,wide,cover
18.6," Dwayne Bravo to Priyam Garg, 1 run, Maiden IPL fifty for Garg, first of many to come? Low full-toss on the pads and it's clipped past square leg for a single ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Dwayne Bravo,1,0,Full toss,stump line,square leg
18.5," Dwayne Bravo to Abdul Samad, 1 run, Bravo goes very full and very wide of off, Samad reaches out on the helicopter drive, doesn't get the timing right and it's a single to extra-cover ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, Dwayne Bravo,1,0,Full,wide,cover
18.4," Dwayne Bravo to Abdul Samad, 2 runs, the almost perfect yorker from Bravo, very full and just outside off, Samad was looking to hack it away and drags it wide of mid-wicket for a couple ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abdul Samad, Dwayne Bravo,2,0,yorker,off side,mid-wicket
