ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Nortje to Jadeja, 1 run, 139.8kph, full and outside off, Jadeja drills it to sweeper cover and settles for a single. Fifty partnership off just 21 deliveries and CSK finish on 179 ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Nortje,1,0,Full,off side,sweeper,,139.8,,202034
19.5," Nortje to Jadeja, 2 runs, 139.1kph, a quick bumper, Jadeja is late on the pull. Off the splice to mid-wicket ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Nortje,2,0,,,mid-wicket,pull shot,139.1,,202034
19.4," Nortje to Jadeja, SIX, six more! Nortje bowls this right in the slot at 147.7kph. Jadeja clears his right leg and bludgeons it over long-on. This is turning out to be a super finish for CSK ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Nortje,6,0,Slot,,long-on,,147.7,,202034
19.3," Nortje to Jadeja, SIX, a low full toss at 142.4kph! You need not get it off the middle here. Jadeja slogs and gets it off the bottom part of the bat, but that's enough to clear wide long-on ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Nortje,6,0,Full,wide,long-on,slog shot,142.4,,202034
19.2," Nortje to Jadeja, no run, 141kph, Nortje nails the wide yorker, just inside the tramline, Jadeja stretches his arms but can't lay bat on ball ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Nortje,0,0,yorker,wide,,,141.0,,202034
19.1," Nortje to Rayudu, 1 run, a slower ball, low ful toss at 122.3kph, Rayudu swings his willow and miscues it towards deep mid-wicket ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Rayudu, Nortje,1,0,,,mid-wicket,,122.3,,202034
18.6," Rabada to Jadeja, SIX, 144.9kph, a hit-me full toss from Rabada! Jadeja accepts the gift gleefully. Clears his front leg and muscles it over deep mid-wicket with a mighty swing of the bat. 16 off Rabada's final over ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Jadeja, Rabada,6,0,Full,,mid-wicket,,144.9,,202034
18.5," Rabada to Rayudu, 1 run, 142.8kph, Rabada now goes for the yorker, Rayudu shimmies down to to heave and inside-edges it onto the pad. The ball dies down on the pitch and the batters nab a single. Rabada kicks and scores a direct hit but Jadeja is very swift ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Rayudu, Rabada,1,0,yorker,,,edge,142.8,,202034
18.4," Rabada to Rayudu, no run, 148.1kph! Typical fast bowler's response. A fiery bumper, Rayudu moves leg-side to pull. Too quick and he can't connect ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Rayudu, Rabada,0,0,,,,pull shot,148.1,,202034
18.3," Rabada to Rayudu, SIX, Rayudu is playing a lovely knock here. Rabada shortens hie length, Rayudu picks it early, walks forward and across before nailing the pull shot. Over deep square leg and that's Rayudu's fourth six ",1st Inns,34th,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Chennai Super Kings (Playing XI): Faf du Plessis, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Deepak Chahar, Shardul Thakur, Karn Sharma",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 17,2020",Chennai Super Kings have won the toss and have opted to bat,Delhi Capitals won by 5 wkts,Shikhar Dhawan,CSK,bat,CSK,DC,Rayudu, Rabada,6,0,Short,,deep square,pull shot,,,202034
