ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Nortje to Shahbaz Ahmed, 1 run, back of a length outside off, it's climbing up and Ahmed can manage to punch it to extra cover ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Shahbaz Ahmed, Nortje,1,0,Back of Length,off side,extra cover
19.5," Nortje to Washington Sundar, byes, 1 run, short, pacy delivery outside off. Sundar swishes his bat but to no avail. They will sneak in a bye ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Washington Sundar, Nortje,byes,1,Short,off side,
19.4," Nortje to Udana, out Caught by Shreyas Iyer!! Udana perishes. Nortje works him out with a short delivery. This rose up sharply to trouble the batsman. Udana was hoping to muscle it out of the park. Got done in by the extra bounce, skies it in the air as he mistimes it. Iyer calls for it, back-pedals and swallows it up at mid-off. Udana c Shreyas Iyer b Nortje 4(2) [4s-1] ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Udana, Nortje,out,out,Short,,mid-off
19.3," Nortje to Udana, FOUR, woah! Udana can bat, he definitely can. Nothing delivery from Nortje. Fuller length in the slot, Udana unwinds with a loft over mid-off. Precious runs for RCB these ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Udana, Nortje,4,0,Full,,mid-off
19.2," Nortje to de Villiers, out de Villiers Run Out!! 1 run completed. And there goes RCB's hopes of a strong finish. de Villiers thrashes it away to long-on, wanted the strike back at any cost but there was no second there. Rahane is a brilliant fielder and his throw to the keeper is very accurate. Despite AB charging across and put a full-length dive, he was well short of the crease. Good job by Pant to whip the bails off in a flash. de Villiers run out (Rahane/Pant) 35(21) [4s-1 6s-2] ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,de Villiers, Nortje,out,out,Full,,long-on
19.1," Nortje to de Villiers, no run, loopy full toss outside off, de Villiers was surprised for a moment as he was through the shot early. Meets only thin air ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,de Villiers, Nortje,0,0,Full,off side,
18.6," Rabada to Shivam Dube, out Caught by Rahane!! Straight down the gullet of Rahane. Dube is disappointed with himself as he reckons he should've smashed this. A short delivery, right in his alley. Dube pivots back to murder it across the line. Couldn't find the sweet spot in his willow and hits it straight to Rahane at deep mid-wicket fence. Sharp catch and that's the end of Dube's cameo. Shivam Dube c Rahane b Rabada 17(11) [4s-2 6s-1] ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Shivam Dube, Rabada,out,out,Short,,Straight
18.5," Rabada to Shivam Dube, no run, better from Rabada. Shortens his length and cramps Dube for room by following him. Dube couldn't lay bat on it and gets hit around the hip abodomen area. It flies to Pant, who moves across and pouches ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Shivam Dube, Rabada,0,0,Short,stump line,
18.4," Rabada to Shivam Dube, FOUR, Dube is playing a gem for his team. Chooses the short boundary, spots a full delivery outside off. Just follows it, holds his shape and lifts it over extra cover ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Shivam Dube, Rabada,4,0,Short,off side,extra cover
18.3," Rabada to Shivam Dube, no run, dot. Cross-seam back of a length delivery at 138.3kph, Dube clears his front leg and has a swipe at it, no luck at all ",1st Inns,55t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Daniel Sams, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje","Royal Challengers Bangalore (Playing XI): Josh Philippe, Devdutt Padikkal, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Washington Sundar, Shahbaz Ahmed, Chris Morris, Isuru Udana, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Nov 02,2020",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Anrich Nortje,DC,field,RCB,DC,Shivam Dube, Rabada,0,0,Back of Length,,
