ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Unadkat to Axar, out Caught by Kartik Tyagi!! And Unadkat has a second. It is the off-pace delivery that is doing the trick for him. He keeps it wide of Axar's range and makes him to reach for it, the resultant outside edge is taken near short third man. Axar c Kartik Tyagi b Unadkat 7(4) [4s-1] ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 19.5 ," Unadkat to Axar, FOUR, much needed hit for Delhi. Unadkat misses the yorker and this full toss has been dispatched neatly by Axar, he bends his back knee and reaches out to smack it over extra cover, even Archer cannot stop that ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 19.4 ,"Unadkat to Carey, out Caught by Jofra Archer!! It is Jofra Archer's day. Three wickets with the ball and two catches. Delhi are just coming apart in the final phase of the innings. Another off-speed delivery outside off and Carey cannot generate enough power to clear long-off, Archer is well inside the boundary rope as he completes the catch. Carey c Jofra Archer b Unadkat 14(13) [6s-1]",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 19.3 ," Unadkat to Axar, 1 run, walks across and swings a juicy full toss on the bounce to long-on ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 19.2 ," Unadkat to Axar, 2 runs, floats it up on a fullish length, Axar waits and lofts it over extra cover, no pace on the ball meant it plugged in the outfield and Archer keeps it down to a brace ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 19.1 ," Unadkat to Carey, 1 run, slower delivery with ample amount of width, Carey cracks it square and the sweeper tides up ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 18.6 ,"Jofra Archer to Stoinis, out Caught by Rahul Tewatia!! Goes deep in the crease and pulls hard, but he's got this closer to the bottom than off the middle. Caught well within the deep midwicket boundary by Tewatia. What an over this is. Stoinis frustrated with himself as he walks off. Stoinis c Rahul Tewatia b Jofra Archer 18(19) [4s-1]",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 18.5 ," Jofra Archer to Carey, leg byes, 1 run, 149.2kph angled in from round the wicket and Carey is hurried for pace, he misses the one-legged pull and the ball thuds off the thigh pad into the leg-side ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 18.4 ," Jofra Archer to Stoinis, 1 run, four balls, four singles. Rajasthan won't mind that at this stage. Stoinis made this into a full delivery by staying deep, whipped to deep mid-wicket and it is straight to the fielder ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
 18.3 ," Jofra Archer to Carey, 1 run, another full toss and Carey slices it away towards sweeper cover ",DC Inns,30t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Marcus Stoinis, Alex Carey(w), Axar Patel, Ravichandran Ashwin, Tushar Deshpande, Kagiso Rabada, Anrich Nortje","Rajasthan Royals (Playing XI): Ben Stokes, Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Kartik Tyagi",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 14,2020",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 13 runs,Anrich Nortje,DC,bat
