ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Dwayne Bravo to Chakravarthy, out Chakravarthy Run Out!! 1 run completed. Jadeja and Dhoni, goodluck taking risk against this duo. Chakravarthy powers this low full toss to deep mid-wicket and there was never a two there, KKR still run in hope and hope is all that'll remain for them. Jaddu fires it quickly and MSD was in perfect position to deflect it onto the stumps. Chakravarthy run out (Jadeja/Dhoni) 1(1) ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.5 ,"Dwayne Bravo to Shivam Mavi, out Caught by Dhoni!! Goodness me! That is a spectacular catch from MSD. Sheer commitment and his athleticism was on full display while grabbing the catch. Dhoni seemed to have signalled something to Bravo just before this delivery and I'm guessing it's something to do with lack of pace. Keeps it in the shortish length area does Bravo and induces a thick outside edge on the slog. Dhoni dives full length to his right, juggles it on the first attempt and then takes the rebound with a sharp spring to his right. 150th IPL wicket for Bravo! Shivam Mavi c Dhoni b Dwayne Bravo 0(1)",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.4 ," Dwayne Bravo to Cummins, 1 run, 134ks low full toss outside off, Cummins goes too hard on the slap-drive and finds long-off ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.3 ," Dwayne Bravo to Cummins, 2 runs, full and angling in, Cummins heaves it across the line and gets it wide of long-on for a double ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.2 ," Dwayne Bravo to K Nagarkoti, out Caught by du Plessis!! Catching practice for Faf at mid-off. Bravo is back to doing what he does best, take wickets in the death overs and unleash his dance moves. Deceives Nagarkoti with a slower ball outside off and a tame chip to mid-off meant curtains for the batsman. K Nagarkoti c du Plessis b Dwayne Bravo 0(2) ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.2 ," Dwayne Bravo to K Nagarkoti, wide, pounds it short and it's too high reckons the umpire as Nagarkoti misses the pull ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 19.1 ," Dwayne Bravo to K Nagarkoti, no run, walks across and looks to go over short fine, but Nagarkoti denies pace and keeps it wide of the reach of the batsman ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 18.6 ," Sam Curran to Karthik, out Caught by SN Thakur!! Gone this time. Thakur juggles once and takes it on the second attempt. Short and got big on DK outside off, he still tries to force the upper cut and hits it flat and straight to the fielder at square third man. Karthik c SN Thakur b Sam Curran 12(11) [4s-1] ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 18.5 ," Sam Curran to Karthik, FOUR, dropped! A relatively easy chance by Jadeja's standards. DK muscles the pull and it was hit flat to the right of the fielder at deep mid-wicket, Jaddu got there quickly but the momentum was always taking him to his right and he seemed to have lost the trajectory momentarily as he tried to take it in front of his face. Sneaks through his fingers and travels to the fence ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
 18.4 ," Sam Curran to Karthik, no run, smart bowling from Sam Curran! Sees DK shuffling too far across his off-stump and uses the angle to his advantage, bowls it past the tramline and ensures the batsman gets nothing ",KKR Inns,21s,Kolkata Knight Riders,Chennai Super Kings,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Andre Russell, Dinesh Karthik(w/c), Eoin Morgan, Rahul Tripathi, Pat Cummins, Kamlesh Nagarkoti, Shivam Mavi, Varun Chakravarthy","Chennai Super Kings (Playing XI): Shane Watson, Faf du Plessis, Ambati Rayudu, MS Dhoni(w/c), Kedar Jadhav, Ravindra Jadeja, Dwayne Bravo, Sam Curran, Shardul Thakur, Deepak Chahar, Karn Sharma",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 07,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,KKR,bat
