ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Stoinis to Morgan, out Caught by Rabada!! Another short ball. Another wicket. The fielder at short fine leg takes it. Stoinis ends with a couple of wickets towards the end. KKR have ended with a huge total. Morgan c Rabada b Stoinis 17(9) [4s-2 6s-1] ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Morgan, Stoinis,out,out,Short
19.5," Stoinis to Nitish Rana, out Caught by Tushar Deshpande!! Short ball, top-edge and taken. That was a mistimed hit and Nitish Rana somehow couldn't get it away. He has done his job though. Nitish Rana c Tushar Deshpande b Stoinis 81(53) [4s-13 6s-1] ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Stoinis,out,out,Short
19.4," Stoinis to Nitish Rana, FOUR, fuller delivery and has been spanked through covers for a four. That was pitched up and has been powered through the off-side. Excellent batting from him ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Stoinis,4,0,Full
19.3," Stoinis to Nitish Rana, FOUR, looks to pull it, inside edges it towards deep fine for a four. That has run away ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Stoinis,4,0,
19.2," Stoinis to Nitish Rana, 2 runs, fuller delivery and has been spanked it over covers for a couple as the man at deep cover cuts it off ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Stoinis,2,0,Full
19.1," Stoinis to Nitish Rana, no run, fuller delivery, Nitish Rana looks to scoop it and misses ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Stoinis,0,0,Full
18.6," Rabada to Morgan, FOUR, clinical! Very intelligent indeed. Backed away, stayed leg side of the ball a bit and steered between short third man and point for a four ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Morgan, Rabada,4,0,Short
18.5," Rabada to Morgan, SIX, low full toss and has been tonked down the ground for a sixer! The line was missed by the bowler and the experienced Morgan powered it down the ground ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Morgan, Rabada,6,0,Full
18.4," Rabada to Nitish Rana, 1 run, backs away and pushes it away into the off-side after the bowler hit the yorker spot well ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Nitish Rana, Rabada,1,0,yorker
18.3," Rabada to Morgan, 1 run, back of a length delivery and has been pushed away into the off-side for a single. Morgan hasn't had it easy so far ",1st Inns,42n,Kolkata Knight Riders,Delhi Capitals,"Kolkata Knight Riders (Playing XI): Shubman Gill, Sunil Narine, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Delhi Capitals (Playing XI): Shikhar Dhawan, Ajinkya Rahane, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande, Anrich Nortje",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 24,2020",Delhi Capitals have won the toss and have opted to field,Kolkata Knight Riders won by 59 runs,Varun Chakaravarthy,DC,field,KKR,DC,Morgan, Rabada,1,0,Back of Length
