ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Jordan to Prasidh, no run, KKR have been restricted to 149/9. Top notch performance by Kings as Jordan nails the yorker and beats the number 11 ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Prasidh, Jordan,0,0,yorker,,,,,
19.5," Jordan to Chakravarthy, out Bowled!! Knocked him over! Chakravarthy tries to be cheeky and tries to scoop this one into the leg side, but moves away far across. The ball clips his pads and takes down the leg stump. KKR are 9 down. Chakravarthy b Jordan 2(4) ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Chakravarthy, Jordan,out,out,,stump line,,,,bowled
19.4," Jordan to Ferguson, 1 run, quality stuff by Jordan, nails the yorker and Ferguson can do nothing more than squeeze it down to long-on ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Ferguson, Jordan,1,0,yorker,,long-on,,,
19.3," Jordan to Chakravarthy, 1 run, heaved through mid-wicket by Chakravarthy as Jordan goes full ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Chakravarthy, Jordan,1,0,Full,,mid-wicket,,,
19.2," Jordan to Chakravarthy, leg byes, 2 runs, swings across the line and the ball comes off the batsman's pads before it rolls towards fine leg, a couple of leg byes taken ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Chakravarthy, Jordan,byes,2,,,fine leg,,,
19.1," Jordan to Ferguson, 1 run, low full toss outside off, Ferguson makes room and drives it to wide mid-off for one ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Ferguson, Jordan,1,0,Full,off side,mid-off,off drive,,
18.6," Shami to Ferguson, leg byes, 1 run, short ball by Shami to end the over as Ferguson gets hit on the body, it lobbed into the on side and they take a leg bye to end the over ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Ferguson, Shami,byes,1,Short,,,,,
18.5," Shami to Ferguson, SIX, Gill denied him strike earlier in the over, and here's Ferguson's reply. Couldn't have been a better one. Makes room, gets underneath this overpitched delivery and spanks it over deep extra cover for a flat six ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Ferguson, Shami,6,0,,,deep extra cover,,,
18.4," Shami to Chakravarthy, 1 run, makes room and drives it through extra-cover for one ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Chakravarthy, Shami,1,0,,,cover,cover drive,,
18.3," Shami to Shubman Gill, out Caught by Pooran!! A full toss by Shami and that has fetched him a wicket. Shubman Gill tried to get under it and heaved it straight to Pooran at deep mid-wicket. Did the damage upfront, and he's doing the damage towards the end. Handy knock by Gill that was. Shubman Gill c Pooran b Shami 57(45) [4s-3 6s-4] ",2nd Inns,46th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Dinesh Karthik(w), Eoin Morgan(c), Sunil Narine, Pat Cummins, Lockie Ferguson, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy","Kings XI Punjab (Playing XI): KL Rahul(w/c), Mandeep Singh, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, Chris Jordan, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 26,2020",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 8 wkts,Chris Gayle,KKR,field,KKR,PBKS,Shubman Gill, Shami,out,out,Full,,straight,,,"Catch out , pooran"
