ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Russell to Nabi, byes, 1 run, 141.3kph, short ball to end the innings. Too quick for Nabi who can't make contact with his pull/hook. Karthik fails to gather it cleanly and the batters nab a bye. SRH finish on 142/4 ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
19.5," Russell to Abhishek Sharma, byes, 1 run, 140.6kph, shortish ball outside off, Sharma wafts and is beaten by the pace and bounce. The batsmen decide to sneak a run via byes. Karthik lobs it to the bowler, but Russell misses the target at his end ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
19.4," Russell to Abhishek Sharma, 2 runs, slower ball bouncer, Sharma is way too early into his pull and gets a top edge that falls in the vacant backward square leg region ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
19.3," Russell to Abhishek Sharma, no run, pacy, shortish ball angled across, Abhishek Sharma tries to periscope it over keeper/vacant first slip, doesn't connect ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
19.2," Russell to Nabi, out W Saha Run Out!! 1 run completed. Better length from Russell, full and outside off, Nabi batters it to long-off. Saha decides to come back for the second, but Nabi is unmoved. The former spots it only after coming halfway down the pitch. Cummins fires a good throw to the keeper's end and Karthik completes the proceedings. Easy call for the TV umpire. W Saha run out (Cummins/Karthik) 30(31) [4s-1 6s-1] ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
19.1," Russell to Nabi, FOUR, 134.9kph, full toss on leg from round the wicket, Nabi flicks it away handsomely over square leg for a one-bounce four. Good start to the over for SRH ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
18.6," Shivam Mavi to W Saha, no run, Mavi gets away on this occasion! A fullish, slower ball outside off and Saha couldn't reach out for it. Was clearly outside the tramline and Saha is certainly not happy with the decision ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
18.6," Shivam Mavi to W Saha, wide, slower delivery again, but Mavi errs with his line, too wide outside off. Left alone by Saha ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
18.5," Shivam Mavi to W Saha, no run, 136.5kph, off-speed full ball outside off, Saha gets down to slog-sweep and misses. Goes past his inside edge and the keeper takes it on the bounce ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
18.4," Shivam Mavi to Nabi, 1 run, another slow bumper, head-high, Nabi gets a top edge on his pull towards short fine leg ",1st Inns,8th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Sunil Narine, Shubman Gill, Dinesh Karthik(w/c), Nitish Rana, Eoin Morgan, Andre Russell, Pat Cummins, Kamlesh Nagarkoti, Varun Chakravarthy, Kuldeep Yadav, Shivam Mavi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow, Manish Pandey, Priyam Garg, Mohammad Nabi, Wriddhiman Saha(w), Abhishek Sharma, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Sep 26,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 7 wkts,Shubman Gill,SRH,bat,SRH,KKR
