ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Coulter-Nile to Morgan, SIX, Morgan finishes the innings in style! Didn't seem like he had got hold of it, seemed like only height on the stroke but tell you what, it went all the way on these big straight boundaries. Length ball from Coulter-Nile, allows Morgan to get under it and this is pumped over the sightscreen ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Morgan, Coulter-Nile,6,0
19.5," Coulter-Nile to Morgan, 2 runs, Morgan called for two as soon as he hit this, didn't time the loft that well but it was very straight down the ground and the two of them run really briskly to get a brace ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Morgan, Coulter-Nile,2,0
19.4," Coulter-Nile to Morgan, 2 runs, gets the wide yorker on point, Morgan squeezes it away past point and they dash back for the second. The throw isn't the greatest and de Kock lets it through as well, to allow Morgan in safely ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Morgan, Coulter-Nile,2,0
19.3," Coulter-Nile to Morgan, SIX, Morgan finally joins the party. Slower ball but it's in the slot, he did have to fetch it a bit from outside off but that's not a problem for him. Dumps it over wide long-on ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Morgan, Coulter-Nile,6,0
19.2," Coulter-Nile to Cummins, 1 run, slowe rand shorter on off stump, Cummins is early into the pull and mistimes this towards mid-wicket ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Cummins, Coulter-Nile,1,0
19.1," Coulter-Nile to Cummins, FOUR, 50 for Cummins! What an absolute gem this has been from the Aussie. Reaches the milestone with a flat-batted cracker through extra cover. Mid-off was up and this just bulleted to the fence ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Cummins, Coulter-Nile,4,0
18.6," Boult to Cummins, 1 run, fine wide yorker, squeezed out past extra cover but the man in the deep is brisk to get to the ball ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Cummins, Boult,1,0
18.5," Boult to Morgan, 1 run, pitched up on off stump, strangely no intent from Morgan yet, push-drives it past the bowler down to long-off ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Morgan, Boult,1,0
18.4," Boult to Cummins, 1 run, very full and on middle and leg, Cummins jams it out uppishly towards the deep mid-wicket fielder ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Cummins, Boult,1,0
18.3," Boult to Cummins, FOUR, this is a superb innings from Cummins, no two ways about it. The only KKR player who has looked in total control. Shuffles across the stumps early, puts off Boult who misses the yorker. Low full toss that's slugged away, well to the right of deep mid-wicket ",1st Inns,32n,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Rahul Chahar, Trent Boult, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Andre Russell, Chris Green, Pat Cummins, Shivam Mavi, Varun Chakravarthy, Prasidh Krishna",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 16,2020",Kolkata Knight Riders have won the toss and have opted to bat,Mumbai Indians won by 8 wkts,Quinton de Kock,KKR,bat,KKR,MI,Cummins, Boult,4,0
