ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Shami to Hetmyer, out Bowled!! Gee! Leg stump toe-crusher beating Hetmyer's big swing after stepping down. What a top finish from Shami. In fact it was the middle stump yorker. Hetmyer b Shami 10(6) [6s-1] ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Hetmyer, Shami,out,out
19.5," Shami to Hetmyer, 2 runs, nope! No timing and Hetmyer looks down. Low full toss mishit to mid-off, Mayank missing a direct-hit and they sneak an extra run ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Hetmyer, Shami,2,0
19.4," Shami to Dhawan, 1 run, oh he tried to be cheeky with the reverse lap but toe-ends this low full toss to point ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Shami,1,0
19.3," Shami to Hetmyer, 1 run, low full toss, driven to mid-off ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Hetmyer, Shami,1,0
19.2," Shami to Dhawan, 1 run, now Dhawan backs away to go on the off-side but toe-ends the drive to cover, neat timing in the gap would have been four. KXIP doing a fine job ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Shami,1,0
19.1," Shami to Dhawan, 2 runs, he walks across and sweeps this low full toss over backward square leg, mopped up in the deep, Just the two, DC need the boundaries ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Shami,2,0
18.6," Arshdeep Singh to Hetmyer, SIX, finally a big hit! Arshdeep Singh had bowled a really good under till this point, just misses the yorker, Hetmyer launches it straight into the sightscreen ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Hetmyer, Arshdeep Singh,6,0
18.5," Arshdeep Singh to Dhawan, 1 run, low full toss, slogged to deep mid-wicket ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Arshdeep Singh,1,0
18.4," Arshdeep Singh to Dhawan, 2 runs, slapped away past point and Shikhar Dhawan is the first player to score back-to-back IPL hundreds. Lifts the helmet and raises the bat. What a stellar season he's having. Looked confident from the word go. Not too many rash hits, mostly calculative batting and he's been the best powerplay batsman this season taking on the bowlers. This was a short delivery wide outside off forcing Dhawan to reach out after advancing, toe-ends it to deep backward point ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Arshdeep Singh,2,0
18.3," Arshdeep Singh to Dhawan, 2 runs, well bowled, Dhawan moves across to lap the ball past short fine leg, but Arshdeep Singh bowls a low full toss outside off stump, forces a push past the bowler, Hetmyer rushes back for the second run. Dhawan on 99 now ",1st Inns,38t,Kings XI Punjab,Delhi Capitals,"Kings XI Punjab (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Glenn Maxwell, Deepak Hooda, James Neesham, Murugan Ashwin, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Daniel Sams, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Tushar Deshpande",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 20,2020",Delhi Capitals have won the toss and have opted to bat,Kings XI Punjab won by 5 wkts,Shikhar Dhawan,DC,bat,DC,PBKS,Dhawan, Arshdeep Singh,2,0
