ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Shivam Dube to Rahul, SIX, Rahul finishes it in style. This is the highest ever score by a captain in IPL. He walks off to a standing ovation. We have been witness to a great innings from the Kings XI skipper. Slower delivery that is back of a length, Rahul waits for it and flat-bats it straight down the ground. When he's striking them so well there are no grounds big enough ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Shivam Dube,6,0
19.5," Shivam Dube to Rahul, SIX, Rahul brings up the 200 in style. Dube misses his yorker by a long distance, this was right in the swinging arc, Rahul clears his front leg and pumps it into the first tier near long-on ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Shivam Dube,6,0
19.4," Shivam Dube to Rahul, FOUR, that's not a bad delivery but a fine shot. Dube spears in the wide yorker outside off, Rahul makes room and opens the bat face to slice the drive behind square on the off-side, no chance for the sweeper to get across ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Shivam Dube,4,0
19.3," Shivam Dube to Nair, 1 run, low full toss outside off and Nair slices it towards sweeper cover ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Nair, Shivam Dube,1,0
19.2," Shivam Dube to Nair, FOUR, Nair also gets into the act. Short and lacked venom, Nair gets inside the line and pulls it backward of square, he rolled his wrist to get the placement right and there was no stopping that ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Nair, Shivam Dube,4,0
19.1," Shivam Dube to Nair, 2 runs, full delivery and Nair smacks it straight down the ground, Kohli runs around from long-off and keeps it down to a brace. Rahul at the other end is a good result now ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Nair, Shivam Dube,2,0
18.6," Steyn to Rahul, FOUR, he has had luck and this proves that today is his day. Good length ball around off, Rahul clears his front leg to have a heave to the on-side, the thick inside edge races past the the stumps ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Steyn,4,0
18.5," Steyn to Rahul, SIX, he is putting on a show now. Not leaving any delivery that is in his arc. This was full and outside off, Rahul stays leg-side to give the room to open his arms, opens the bat face and slices it over point. Another biggie.. ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Steyn,6,0
18.4," Steyn to Rahul, SIX, oh my! That's disappeared into the top tier. Steyn is just too predictable with his slower deliveries, it is all back of a length stuff, Rahul waits and swings his bat at the right time, pumps it flat and all the way over deep mid-wicket ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Steyn,6,0
18.3," Steyn to Rahul, no run, skiddy back of a length stuff and for once Rahul is not able to connect with his cut, the ball slides across the turf and beats the flashing blade. A rare dot delivery.. ",1st Inns,6th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w/c), Mayank Agarwal, Karun Nair, Nicholas Pooran, Glenn Maxwell, Sarfaraz Khan, James Neesham, Mohammed Shami, Murugan Ashwin, Sheldon Cottrell, Ravi Bishnoi","Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers, Shivam Dube, Josh Philippe(w), Washington Sundar, Navdeep Saini, Umesh Yadav, Dale Steyn, Yuzvendra Chahal",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 24,2020",Royal Challengers Bangalore have won the toss and have opted to field,Kings XI Punjab won by 97 runs,KL Rahul,RCB,field,PBKS,RCB,Rahul, Steyn,0,0
