ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Navdeep Saini to Jofra Archer, no run, fiery end to the innings! Tewatia got hit on the chest earlier in the over, and now it's Jofra who gets hit. Tried to play the scoop shot against a short ball, and ended up getting hit on the helmet. Rajasthan Royals end with 154/6 ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.5 ," Navdeep Saini to Rahul Tewatia, 1 run, hooks the short ball through square leg for a single ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.4 ," Navdeep Saini to Rahul Tewatia, no run, swings at this widish delivery as he gets an edge that drops in front of AB ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.3 ," Navdeep Saini to Rahul Tewatia, SIX, dealing in sixes is Tewatia. Rahul - it's in the name! A full toss around off, Rahul Tewatia shuffles across and swipes it towards deep square leg as he manages to beat the fielder's leap near the boundary ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.2 ," Navdeep Saini to Rahul Tewatia, SIX, and the free-hit is out of the park! The reply couldn't have been a better one. Length delivery by Navdeep Saini and Rahul Tewatia swings it over deep square leg for a monster hit. Once again, RCB are proving to be expensive in their death overs ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.2 ," Navdeep Saini to Rahul Tewatia, no ball, oh! that's a nasty delivery! Tewatia is down in pain. Was trying to play the scoop and Navdeep Saini delivered a high full toss. Rahul gets hit on the chest, but hopefully he is fine. Shows a thumbs up and he's ready to go! Brave boy Tewatia ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 19.1 ," Navdeep Saini to Jofra Archer, 1 run, full toss again and Jofra Archer mistimes his swing towards extra cover ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 18.6 ," Udana to Jofra Archer, 1 run, slaps the wide full toss to long-off and keeps strike, does Jofra Archer ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 18.5 ," Udana to Jofra Archer, no run, chance of a run-out, but Udana has made a mess of it. Tewatia was almost at the striker's end when Archer asked him to go back. But, Udana couldn't get rid of the ball quickly. Had he gone for a direct-hit at the bowler's end, Tewatia could have been in trouble. The throw wasn't an impressive one, as he parried it away towards the fielder who was charging in from mid-off. Was delivered on the pads as Jofra Archer failed to connect his flick ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
 18.4 ," Udana to Jofra Archer, 2 runs, full toss outside off, Jofra Archer reaces out for it with a drive and manages to come back for the second as he drills this through covers ",RR Inns,15t,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Isuru Udana, Navdeep Saini, Adam Zampa, Yuzvendra Chahal","Rajasthan Royals (Playing XI): Jos Buttler(w), Steven Smith(c), Sanju Samson, Robin Uthappa, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Tom Curran, Shreyas Gopal, Jofra Archer, Jaydev Unadkat",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 03,2020",Rajasthan Royals have won the toss and have opted to bat,Royal Challengers Bangalore won by 8 wkts,Yuzvendra Chahal,RR,bat
