ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6,"Jofra Archer to Ashwin, no run, short and wide outside off, Ashwin attempts a cut, gets beaten though. Delhi Capitals finish with 184/8",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Ashwin,Jofra Archer,0,0,Short,wide,
19.5," Jofra Archer to Rabada, 1 run, slaps the back of a length delivery towards cover for one ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Rabada, Jofra Archer,1,0,Back of Length,,cover
19.4," Jofra Archer to Harshal Patel, out Caught by Rahul Tewatia!! Archer bags his third wicket! Harshal Patel looks to go big against the pacer and slogs it straight to the man at deep mid-wicket. Tewatia is everywhere in the field. A wicket, couple of catches. Good game for him so far. Harshal Patel c Rahul Tewatia b Jofra Archer 16(15) [4s-1] ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Harshal Patel, Jofra Archer,out,out,Good,,straight
19.3," Jofra Archer to Rabada, 1 run, tailing into the batsman on a full length and it has been heaved towards long-on for one ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Rabada, Jofra Archer,1,0,Full,,long-on
19.2," Jofra Archer to Rabada, no run, pitched up by Jofra Archer, Rabada tries to slice it through the off side, gets beaten though ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Rabada, Jofra Archer,0,0,,,
19.1,"Jofra Archer to Harshal Patel, 1 run, low full toss outside off, Harshal Patel squeezes it towards extra cover for a single",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Harshal Patel,Jofra Archer,1,0,Full,off side,extra cover
18.6," Tye to Axar, out Caught by Buttler!! Tye ends his spell with a wicket, but the damage has already been done. Fires a wide one outside off and Axar gets it off the cue end as he throws his hands at it. Good cameo by Patel. Axar c Buttler b Tye 17(8) [4s-2 6s-1] ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Axar, Tye,out,out,Good,wide,
18.5," Tye to Axar, FOUR, smacked! Short ball by AJ and it has been slammed towards deep mid-wicket by Axar. Fifty up for Tye.. ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Axar, Tye,4,0,Short,,mid-wicket
18.4," Tye to Axar, SIX, all smiles in the Delhi camp as the free-hit goes the distance. Touch full on off and it has been tonked right over the bowler's head by Axar ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Axar, Tye,6,0,Full,off side,
18.4," Tye to Axar, no ball, byes, FOUR, that's an awful delivery! A beamer that beats Axar's pull and also beats Buttler. Five bonus runs for Delhi, more importantly the next ball is a free-hit! ",1st Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,DC,RR,Axar, Tye,no ball,1,,,
