ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Avesh Khan to Russell, SIX, Russell finishes in style! Sits deep in the crease preparing for the yorker and gets a low full toss that manages to get under. Smokes it straight back over the bowler's head. Yeah, all the way. Isn't that obvious when he connects so well? ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
19.5," Avesh Khan to Cummins, 1 run, attacks the stumps with a yorker, dug out towards mid-wicket ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
19.4," Avesh Khan to Russell, 1 run, stunning fielding from Smith! This was a wide low full toss that's been hit really hard by Russell down the ground. Looked like a boundary for sure but it's stopped with a sensational dive. They could have stolen the second with more awareness. But both Russell and Cummins were busy ball-watching ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
19.3," Avesh Khan to Cummins, 1 run, very full and straight, in-angling low full toss that's squeezed down off the inside half to fine leg ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
19.2," Avesh Khan to Cummins, FOUR, this time the wide yorker goes wrong, it's in the driving slot and Cummins feasts on the width with a bullet stroke past extra cover. Bisects sweeper and long-off ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
19.1," Avesh Khan to Cummins, no run, tries to slog but misses! Almost the perfect wide yorker from Avesh and Cummins even with a shuffle across can't connect. Can't sneak a bye either ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
18.6," Rabada to Russell, SIX, this is the Russell we've been used to! Rabada looks for the fast yorker, once again misses his length and this low full toss is smacked over cow corner. Blistering blow and these hits are giving KKR the much-needed finishing kick ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
18.5," Rabada to Russell, SIX, kaboooom! This is a meaty strike from Dre Russ! Slower ball into the surface, Russell picks it early and waits before flat-batting merrily over the sight-screen. Powerful hit ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
18.4," Rabada to Russell, no run, wild swing and a miss! Nearly swinging himself off his feet here is Russell but isn't able to connect properly. This was nearly in the slot, he tries to heave but misses. Great take by Pant diving to his left one-handed ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
18.3," Rabada to Russell, FOUR, not on this occasion though! Rabada got away with a few full tosses but he doesn't here. Russell didn't connect the slog that well but did well to get it into the gap. Between fine leg and deep mid-wicket ",1st Inns,25t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Lalit Yadav, Kagiso Rabada, Ishant Sharma, Avesh Khan","Kolkata Knight Riders (Playing XI): Shubman Gill, Nitish Rana, Rahul Tripathi, Sunil Narine, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Pat Cummins, Shivam Mavi, Prasidh Krishna, Varun Chakravarthy",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 29,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Prithvi Shaw,DC,field,KKR,DC
