ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Shivam Mavi to Shreyas Iyer, SIX, proper swagger. No look, full-blooded swing, and boom. 135kph, knee-high full toss, and Iyer's already sitting deep in his crease to smoke it over the sightscreen downtown ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Shivam Mavi,6,0,Full,,,,135.0,
19.5," Shivam Mavi to Axar, 1 run, 109.5kph, off-cutter, full, outside off. Another big swing, and another inside-half rolling away to deep mid-wicket ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Axar, Shivam Mavi,1,0,Full,off side,mid-wicket,cut shot,109.5,
19.4," Shivam Mavi to Shreyas Iyer, 1 run, 138kph, another yorker tried, but Iyer walks out, takes it on the full and chips this once again into mid-wicket ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Shivam Mavi,1,0,yorker,,mid-wicket,,138.0,
19.3," Shivam Mavi to Shreyas Iyer, 2 runs, 136.7kph, yorker, jammed into mid-wicket, and with enough time to pinch a second before the fielder could come in ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Shivam Mavi,2,0,yorker,,mid-wicket,,136.7,
19.2," Shivam Mavi to Shreyas Iyer, FOUR, 114.4kph, another off-cutter, but short enough for Iyer to adjust, pick it up off his front foot and slog it into cow corner ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Shivam Mavi,4,0,Short,,cow corner,cut shot,114.4,
19.1," Shivam Mavi to Axar, 1 run, 109.9kph, a slower one, full, just outside off, Axar waits, swings, and drags it to deep mid-wicket ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Axar, Shivam Mavi,1,0,Full,off side,mid-wicket,,109.9,
18.6," Narine to Axar, 1 run, angling in, with Patel getting a slight tickle on it as he tries to swat it away, just past the keeper ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Axar, Narine,1,0,,,keeper,,,
18.5," Narine to Shreyas Iyer, 1 run, full, quite wide, squeezed in front of short third man for a quick one ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Narine,1,0,Full,wide,short third man,,,
18.4," Narine to Axar, 1 run, on middle, whipped away round the corner ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Axar, Narine,1,0,,stump line,,,,
18.3," Narine to Shreyas Iyer, out Hetmyer Run Out!! Gone. Just suicidal stuff this, with Iyer cutting it straight to backward point, and Hetmyer not even finding himself in the pictue. There never was a run, and Venkatesh's flat throw to the keeper only proves the point. Hetmyer run out (Venkatesh Iyer/Karthik) 17(10) [6s-2] ",1st Inns,Qua,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Dinesh Karthik(w), Sunil Narine, Shakib Al Hasan, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 3 wkts,Venkatesh Iyer,KKR,field,DC,KKR,Shreyas Iyer, Narine,out,out,,,straight,cut shot,,"run out ,(Venkatesh Iyer/Karthik)"
