ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Avesh Khan to Bumrah, 1 run, 117.8kph, off-paced, cutter, into the pitch. Bumrah has his front leg cleared as he heaves. Look out cow corner. Alas, the ball's chopped onto himself, and all he gets is Boult pulling him through for a quick one ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Bumrah, Avesh Khan,1,0,
19.5," Avesh Khan to Boult, 1 run, the typical open-stanced punch from Boult, down to long-off ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Boult, Avesh Khan,1,0,
19.4,"Avesh Khan to Rahul Chahar, out Caught by Pant!! Full, outside off, and Chahar wants to smoke this over deep mid-wicket. Or so he thinks. Like many of his other team-mates, he's early into this shot, going too hard too, and ends up outside-edging it to the keeper. Btw, it's the split-finger slower one from Avesh here. Rahul Chahar c Pant b Avesh Khan 6(6) [4s-1]",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Rahul Chahar,Avesh Khan,out,out,Full
19.3," Avesh Khan to Rahul Chahar, no run, full toss outside off. and Chahar now wants to walk across and scoop it over the keeper. Nope, the ball dips on him, sneaks under the bat, and lobs off the pad to the keeper ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Rahul Chahar, Avesh Khan,0,0,Full
19.2," Avesh Khan to Rahul Chahar, FOUR, bang in the slot, and BANG! Chahar opens out his front leg, heaves, connects and mows it into cow corner ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Rahul Chahar, Avesh Khan,4,0,Slot
19.1," Avesh Khan to Bumrah, 1 run, 124.2kph, full toss, on the legs. Bumrah flicks it away and Rabada does well at fine leg to get across quickly and keep it to a single ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Bumrah, Avesh Khan,1,0,Full
18.6," Rabada to Bumrah, 1 run, 113.2kph, off-cutter, length, outside off. Bumrah lines it up and dabs it to third man ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Bumrah, Rabada,1,0,Good
18.5," Rabada to Jayant Yadav, out Caught&Bowled!! Nah, too cheeky to come out right. It's a very sticky pitch, this is Rabada, and Jayant's attempted shuffling-across-scoop ends up in a leading-edge chipping tamely down the pitch. Nevertheless, it's been a decent little innings in the context of when and how it's come. Jayant Yadav c and b Rabada 23(22) [4s-1] ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Jayant Yadav, Rabada,out,out,
18.4," Rabada to Jayant Yadav, no run, 114kph, smart loopy bouncer this -- short, into the pitch and the ball just doesn't come on as Jayant pulls it full-blooded, only finding thin air ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Jayant Yadav, Rabada,0,0,Short
18.3," Rabada to Rahul Chahar, 1 run, full, slipping into the legs, wristed down to fine leg ",1st Inns,13t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Lalit Yadav, Ravichandran Ashwin, Kagiso Rabada, Amit Mishra, Avesh Khan","Mumbai Indians (Playing XI): Quinton de Kock(w), Rohit Sharma(c), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 20,2021",Mumbai Indians have won the toss and have opted to bat,Delhi Capitals won by 6 wkts,Amit Mishra,MI,bat,MI,DC,Rahul Chahar, Rabada,1,0,Full
