ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Woakes to Hooda, 1 run, gets it off the toe-end of the bat and the ball rolls behind the square for a single ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Hooda, Woakes,1,0,,,square,
19.5," Woakes to Shahrukh Khan, 1 run, inside edges the ball away into the pads for a single ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Shahrukh Khan, Woakes,1,0,,,,edge
19.4," Woakes to Shahrukh Khan, SIX, Shahrukh Khan and a blockbuster hit in Mumbai is not a new thing? Right? That was in the slot and Shahrukh Khan powered it over deep long-on for a sixer ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Shahrukh Khan, Woakes,6,0,Slot,,long-on,defend
19.3," Woakes to Shahrukh Khan, FOUR, that's some bad luck for the bowler. That was full, wide, Shahrukh Khan threw his bat at it and got it off the edge for a four ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Shahrukh Khan, Woakes,4,0,Full,wide,,edge
19.2," Woakes to Shahrukh Khan, no run, slaps that length delivery and has been hit straight to the fielder ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Shahrukh Khan, Woakes,0,0,Good,,straight,
19.1," Woakes to Shahrukh Khan, FOUR, slashes the ball hard and the ball races away past deep cover for a four. Was hit hard and into the fence ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Shahrukh Khan, Woakes,4,0,,,deep cover,
18.6," Avesh Khan to Hooda, no run, looks for the big heave and misses ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Hooda, Avesh Khan,0,0,,,,beaten
18.5," Avesh Khan to Pooran, out Caught by Rabada!! Fuller delivery and has been sliced away to deep cover. That was fuller, Pooran hit it hard and flat to find the fielder. Pooran did get under it but failed to clear the fence. Pooran c Rabada b Avesh Khan 9(8) [4s-1] ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Pooran, Avesh Khan,out,out,Full,,deep cover,
18.4," Avesh Khan to Hooda, leg byes, 1 run, Hooda looked to slog and missed it. There was an appeal but the ball hit him may be just outside the line. The review was taken and it was umpire's call. Only a leg bye ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Hooda, Avesh Khan,byes,1,,,,beaten
18.3," Avesh Khan to Hooda, SIX, fuller delivery and has been slapped over deep cover for a sixer. That was right up there and Hooda smashed it over the boundary ",1st Inns,11t,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Rishabh Pant(w/c), Marcus Stoinis, Lalit Yadav, Chris Woakes, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Lukman Meriwala","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Deepak Hooda, Nicholas Pooran, Shahrukh Khan, Jhye Richardson, Jalaj Saxena, Mohammed Shami, Riley Meredith, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 18,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 6 wkts,Shikhar Dhawan,DC,field,PBKS,DC,Hooda, Avesh Khan,6,0,Full,,deep cover,
