ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Russell to Rahul Chahar, out Caught by Shubman Gill!! Five wicket haul for Andre Russell and he's managed that in just two overs. What a roaring comeback from KKR. Rahul Chahar looks to slog this on the leg-side but miscues it high into the air and offers a simple catch to long-on. Rahul Chahar c Shubman Gill b Russell 8(7) ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
19.5," Russell to Rahul Chahar, 2 runs, whips the full delivery and this time it lands well short of the fieder at deep mid-wicket ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
19.4," Russell to Bumrah, out Caught by Shakib!! Make that wicket number 4 for Andre Russell. Opts for the short ball and Bumrah's pull could only travel as far as deep mid-wicket. He was targetting the longer side and the fielder was set for a shot like that. Bumrah c Shakib b Russell 0(1) ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
19.3," Russell to Krunal Pandya, out Caught by Prasidh!! The slower ball arrives and Russell picks up his third for the night. No pace on offer to play the pull and Krunal's attempted hit lands in the bucket hands of Prasidh at short fine Krunal Pandya c Prasidh b Russell 15(9) [4s-3] ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
19.2," Russell to Krunal Pandya, FOUR, short and angling away outside off, Krunal looks to flay it over point and gets a thick outside edge flying past short third to his right ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
19.1," Russell to Krunal Pandya, FOUR, 137ks full and wide of off, Krunal goes deep inside the crease and slogs it on the leg-side, hits it in the gap between deep square and deep mid-wicket ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.6," Prasidh to Rahul Chahar, no run, 141ks full toss outside off, Chahar looks to slice it on the off-side but hits it straight to the fielder at backward point ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.5," Prasidh to Krunal Pandya, 1 run, 144ks full and wide of off, Krunal drills it along the ground to the right of sweeper cover. Thinks of a second but is sent back ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.4," Prasidh to Krunal Pandya, FOUR, pounds it short on the leg-side and gets big on Krunal who gets a thick top-edge which flies over the keeper for yet another boundary ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.3," Prasidh to Krunal Pandya, leg byes, FOUR, sprays it on the pads and Krunal misses the flick by a long way. It hits the pads and flies past the keeper to his right towards the fine leg boundary ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.2," Prasidh to Rahul Chahar, 1 run, good length on and around off-stump at 135ks, Chahar opens the bat face and dinks it to the left of backward point ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
18.1," Prasidh to Rahul Chahar, 2 runs, full and angled into the pads, flicked away to the right of deep backward square ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
17.6," Russell to Rahul Chahar, 1 run, pitched up wide of off-stump, driven square on the off-side and Chahar will keep strike with that single ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
17.5," Russell to Rahul Chahar, 2 runs, 133ks angling away outside off, Chahar opens the bat face and guides it fine to the left of third man ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
17.4," Russell to Krunal Pandya, 1 run, 132ks length delivery just outside off, punched along the ground through extra cover ",1st Inns,5th,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Nitish Rana, Shubman Gill, Rahul Tripathi, Eoin Morgan(c), Andre Russell, Dinesh Karthik(w), Shakib Al Hasan, Pat Cummins, Harbhajan Singh, Prasidh Krishna, Varun Chakravarthy","Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Ishan Kishan, Hardik Pandya, Kieron Pollard, Krunal Pandya, Marco Jansen, Rahul Chahar, Trent Boult, Jasprit Bumrah",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 13,2021",Kolkata Knight Riders have won the toss and have opted to field,Mumbai Indians won by 10 runs,Rahul Chahar,KKR,field,MI,KKR
