ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Southee to S Kaul, FOUR, agricultural carve this .. and a much-needed boundary to give them some sort of momentum. It's on a back of a length, Kaul clears his front leg, forehanding it over extra cover ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,S Kaul, Southee,4,0,Back of Length,,extra cover,,,,202149
19.5," Southee to Bhuvneshwar, 1 run, sharp back of a lengths these, coming into Kumar and denying him any sort of room. He makes room, slaps flat-batted, and only just gets it over cover ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Bhuvneshwar, Southee,1,0,Back of Length,,cover,,,,202149
19.4," Southee to S Kaul, 1 run, short, wide, slapped hard. Again, too hard, without much timing, one-bounced to deep point ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,S Kaul, Southee,1,0,Short,wide,deep point,,,,202149
19.3," Southee to Bhuvneshwar, 1 run, full off-cutter. Sliced hard, toe-ended though, long-off ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Bhuvneshwar, Southee,1,0,Full,,long-off,cut shot,,,202149
19.2," Southee to S Kaul, 1 run, on middle, good length, hurrying and tucking Kaul up as he knocks it towards mid-on ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,S Kaul, Southee,1,0,Good,stump line,mid-on,,,,202149
19.1," Southee to Bhuvneshwar, 1 run, back of a length and into the body, something Bhuvneshwar backs away to in guiding behind point ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Bhuvneshwar, Southee,1,0,Back of Length,,point,,,,202149
18.6," Shivam Mavi to Bhuvneshwar, 1 run, off-cutter, full, on off. Chipped wide of long-on. Some quiet runs these ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Bhuvneshwar, Shivam Mavi,1,0,Full,off side,long-on,cut shot,,,202149
18.5," Shivam Mavi to S Kaul, 1 run, length, on middle, wristed away with the in-angle into mid-wicket ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,S Kaul, Shivam Mavi,1,0,Good,stump line,mid-wicket,,,,202149
18.4," Shivam Mavi to S Kaul, no run, beats him. Quick, skiddy back of a length delivery just outside off, angling in, seaming away, past Kaul's back-footed poke ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,S Kaul, Shivam Mavi,0,0,Back of Length,off side,,,,,202149
18.3," Shivam Mavi to Bhuvneshwar, 1 run, tight good length on middle, shuffling nudge into mid-wicket ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Bhuvneshwar, Shivam Mavi,1,0,Good,stump line,mid-wicket,,,,202149
18.2," Shivam Mavi to Rashid Khan, out Caught by Venkatesh Iyer!! Another helicopter, this time with a flick, down the ground, and down long-on's throat. Mavi has in fact slowed this down further, making Rashid have to wait on it, and lose shape. Rashid Khan c Venkatesh Iyer b Shivam Mavi 8(6) [4s-1] ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Rashid Khan, Shivam Mavi,out,out,,,long-on,flick shot,,"Catch out , venkatesh iyer",202149
18.1," Shivam Mavi to Rashid Khan, FOUR, the slower one goes wrong -- full, loopy, outside off, but thus giving Rashid enough time to read. Oh, and read he does, unleashing his vintage wristy slice with a helicopter-flourish to carve it over sweeper ",1st Inns,49th,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Rahul Tripathi, Nitish Rana, Eoin Morgan(c), Shakib Al Hasan, Dinesh Karthik(w), Sunil Narine, Shivam Mavi, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Umran Malik, Siddarth Kaul",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 03,2021",Sunrisers Hyderabad have won the toss and have opted to bat,Kolkata Knight Riders won by 6 wkts,Shubman Gill,SRH,bat,SRH,KKR,Rashid Khan, Shivam Mavi,4,0,Full,off side,sweeper,helicopter shot,,,202149
