ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Ashwin to Krunal Pandya, SIX, Mumbai Indians finish with 129/8! Ashwin gives it a lot of flight and Krunal Pandya has launched it right over the bowler's head as the ball just lands beyond the boundary ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Krunal Pandya, Ashwin,6,0
19.5," Ashwin to Krunal Pandya, no run, slides this one down the leg side, Krunal Pandya goes down on his knee to play the sweep, but the ball flicks his pads ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Krunal Pandya, Ashwin,0,0
19.4," Ashwin to Krunal Pandya, no run, flatter delivery on off, Krunal Pandya slaps it down to long-off, doesn't take the single though ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Krunal Pandya, Ashwin,0,0
19.3," Ashwin to Bumrah, 1 run, taps this short ball right onto the pitch and scampers across to the other end ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Bumrah, Ashwin,1,0
19.2," Ashwin to Jayant Yadav, out Caught by Smith!! Wickets continue to tumble as Jayant Yadav departs after a cameo. Was a length delivery outside off and Jayant Yadav tries to clear the infield at extra cover. Smith stationed near the ring, times his jump and takes a well judged catch. Jayant Yadav c Smith b Ashwin 11(4) [4s-1 6s-1] ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Jayant Yadav, Ashwin,out,out
19.1," Ashwin to Jayant Yadav, SIX, Jayant Yadav takes on Ashwin and clears long-on. Goes down on his knee and launches it cleanly to clear the fielder stationed in the deep ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Jayant Yadav, Ashwin,6,0
18.6," Avesh Khan to Jayant Yadav, 1 run, swiped through mid-wicket by Jayant Yadav as Avesh Khan goes short. End of his spell 4-0-15-3! Lovely bowling figures.. ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Jayant Yadav, Avesh Khan,1,0
18.5," Avesh Khan to Jayant Yadav, FOUR, much needed for MI! On a length around off and the batsman has thumped it right over the bowler's head for a boundary ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Jayant Yadav, Avesh Khan,4,0
18.4," Avesh Khan to Coulter-Nile, out Bowled!! You miss, I hit! Hurls in a length delivery on off, right in the slot and Coulter-Nile gets beaten on his wild swing. The off-stump goes for a walk as Avesh Khan claims his third wicket of the match. Good to see the Indian young pacers rising to the occasion this IPL. Harshal Patel, Arshdeep and Avesh Khan. All of them have been impressive! Coulter-Nile b Avesh Khan 1(2) ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Coulter-Nile, Avesh Khan,out,out
18.3," Avesh Khan to Krunal Pandya, 1 run, tad short on middle and leg, Krunal Pandya swipes it towards short fine leg off an inside edge ",1st Inns,46t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Quinton de Kock(w), Suryakumar Yadav, Saurabh Tiwary, Hardik Pandya, Kieron Pollard, Krunal Pandya, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Steven Smith, Shreyas Iyer, Rishabh Pant(w/c), Shimron Hetmyer, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 02,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Axar Patel,DC,field,MI,DC,Krunal Pandya, Avesh Khan,1,0
