ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Harshal Patel to Harpreet Brar, SIX, Brar finishes with a bang! Fuller one on leg stump, right in Brar's arc with the short leg-side fence and he swings merrily off his hips, a drop-kick easily over the fence ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Harpreet Brar, Harshal Patel,6,0,Full
19.5," Harshal Patel to Rahul, 1 run, slower and shorter on off stump, mistimed pull behind square leg and Rahul very reluctantly takes the single ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Harshal Patel,1,0,Short
19.4," Harshal Patel to Rahul, FOUR, there is the 170-run mark breached! KL has got this scoop straight over de Villiers! This is sensational batting indeed. This was a fairly deceny yorker from Harshal but Rahul knows it's coming. He's across and lobs it straight back over the keeper. Wowza! ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Harshal Patel,4,0,yorker
19.3," Harshal Patel to Rahul, SIX, this is Rahul at his very best! He's absolutely bullying Harshal here. Knows the yorker is coming, times his shuffle across early and takes this on the full, scooping over short fine leg. Clean connection and it's gone all the way too! ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Harshal Patel,6,0,yorker
19.2," Harshal Patel to Rahul, FOUR, splits the gap! Superb batting! Was backing away to make room to target the short off-side fence but Harshal tried to follow him with a yorker. Ends up as a full toss on the hips and it's whipped away stylishly by KL. Splits fine leg and deep mid-wicket ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Harshal Patel,4,0,Short
19.1," Harshal Patel to Harpreet Brar, 1 run, very full and outside off, Brar jams it out down to long-off ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Harpreet Brar, Harshal Patel,1,0,Full
18.6," Siraj to Rahul, FOUR, unfortunate for Siraj as this thick edge flies well over short third man and to the fence. Was in the slot though for the big shot and Rahul was looking to go over cover. Went really hard on the shot and ended up getting a big slice. Despite the boundary, just seven off the over! Take a bow, Siraj! ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Siraj,4,0,Short
18.5," Siraj to Harpreet Brar, 1 run, Siraj continues to be amazing at the death! Another leg stump yorker, can't do much about these when they're so pinpoint and Brar can only dig it out down to long-on ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Harpreet Brar, Siraj,1,0,yorker
18.4," Siraj to Harpreet Brar, no run, banged in short, well-directed and Brar who was expecting another yorker is forced to adjust with a ramp. Too late on the shot and is beaten ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Harpreet Brar, Siraj,0,0,Short
18.3," Siraj to Rahul, 1 run, premeditates the paddle scoop but the line was wider and Rahul cue-ends this towards short fine leg. Can't get it past the fielder. Rahul now has the Orange Cap ",1st Inns,26t,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings (Playing XI): KL Rahul(c), Chris Gayle, Deepak Hooda, Nicholas Pooran, Prabhsimran Singh(w), Shahrukh Khan, Chris Jordan, Harpreet Brar, Ravi Bishnoi, Mohammed Shami, Riley Meredith","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Rajat Patidar, Glenn Maxwell, AB de Villiers(w), Shahbaz Ahmed, Daniel Sams, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Narendra Modi Stadium,Ahmedabad","Apr 30,2021",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 34 runs,Harpreet Brar,RCB,field,PBKS,RCB,Rahul, Siraj,1,0,Short
