ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Dwayne Bravo to Harshal Patel, out Caught by Raina!! Full and wide outside off, Patel goes after it and slices it up off the outside half. Raina at extra cover again. And it's taken again. RCB finish with 156. Harshal Patel c Raina b Dwayne Bravo 3(5) ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Harshal Patel, Dwayne Bravo,out,out,Full,wide,extra cover,
19.5," Dwayne Bravo to Hasaranga, 1 run, low full toss outside off, Hasaranga mistimes the drive to extra cover ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Hasaranga, Dwayne Bravo,1,0,Full,off side,extra cover,cover drive
19.4," Dwayne Bravo to Harshal Patel, 1 run, another one pitched right up, and Patel squeezes it down to long-on ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Harshal Patel, Dwayne Bravo,1,0,,,long-on,
19.3," Dwayne Bravo to Harshal Patel, no run, brilliant wide yorker, Patel fails to connect ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Harshal Patel, Dwayne Bravo,0,0,yorker,wide,,
19.2," Dwayne Bravo to Maxwell, out Caught by Jadeja!! Pitched right up on leg, Maxwell clears the front leg and swings across the line. He hasn't been able to get under it because it's so full. Hence the lack of elevation. Goes flat to Jadeja at deep midwicket, and it's his second catch in that position this evening. Maxwell c Jadeja b Dwayne Bravo 11(9) [6s-1] ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Maxwell, Dwayne Bravo,out,out,Full,leg side,deep midwicket,
19.1," Dwayne Bravo to Maxwell, no run, nails the wide yorker from round the wicket, Maxwell fails to get any bat ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Maxwell, Dwayne Bravo,0,0,yorker,wide,,
18.6," Chahar to Maxwell, 1 run, leg-cutter turning away from short of length, Maxwell punches through cover ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Maxwell, Chahar,1,0,Short,,cover,square cut
18.5," Chahar to Harshal Patel, 1 run, short of length around the chest, Patel gets a thick top-edge on the pull. It falls short of deep midwicket and Chahar looks upset with the fielder for not charging in ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Harshal Patel, Chahar,1,0,Short,,deep midwicket,edge
18.4," Chahar to Maxwell, 1 run, full toss on off, Maxwell slams it to long-on ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Maxwell, Chahar,1,0,Full,off side,long-on,
18.3," Chahar to Harshal Patel, 1 run, low full toss on middle, Patel gets a thick leading edge down to long-off ",1st Inns,35t,Royal Challengers Bangalore,Chennai Super Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Tim David, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Navdeep Saini, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 24,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Dwayne Bravo,CSK,field,RCB,CSK,Harshal Patel, Chahar,1,0,Full,stump line,long-off,edge
