ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Shivam Mavi to Harshal Patel, byes, 1 run, nails the yorker now, with Patel dancing down, swinging, missing. Never mind, DK first fails to collect it cleanly, and then when he does, fails to find the stumps. So, 138 .. ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,byes,1,yorker,,,beaten,,,202158
19.5," Shivam Mavi to Harshal Patel, 2 runs, slow-wide yorker, swung hard and squeezed away into leg, with the miscue helping them pinch the second ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,2,0,yorker,wide,,,,,202158
19.5," Shivam Mavi to Harshal Patel, wide, full, slow, loopy, but way outside off, nearly cutting the pitch ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,wide,1,Full,wide,,wide,,,202158
19.4,"Shivam Mavi to Harshal Patel, out Christian Run Out!! 1 run completed. Shuffles, scoops, miscues, and it rolls wide of square leg. Ferguson's the fielder, who misfields, but recovers quickly to fire a flat throw at the non-striker's, and Christian - in his quest to steal a second off the fumble - is way short. Christian run out (Ferguson/Shivam Mavi) 9(8) [4s-1]",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel,Shivam Mavi,out,out,Short,wide,square leg,,,"run out ,(Ferguson/Shivam Mavi)",202158
19.3," Shivam Mavi to Harshal Patel, no run, Harshal's given out LBW. Harshal reviews. And Harshal succeeds. Thanks to yet-another inside-edge onto the pad that the umpire has failed to spot. Overturned. And Bangalore have been denied two runs in this innings, thanks to some pretty dubious onfield calls. This one is off a low loopy full toss, going under the heave, and the impact was way outside off as well ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,0,0,Full,off side,,edge,,,202158
19.2," Shivam Mavi to Harshal Patel, FOUR, loses his yorker again: this time for a low full toss. And Patel steps out, makes it jucier, and slices it away through sweeper ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,4,0,yorker,,sweeper,,,,202158
19.2," Shivam Mavi to Christian, no ball, 1 run, 104kph, walks way across off, then drags this from way outside the tramline, to long-on. Okay, Mavi's overstepped again ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Christian, Shivam Mavi,no ball,1,,,long-on,,104.0,,202158
19.1," Shivam Mavi to Harshal Patel, 1 run, missed yorker: full toss on off, drilled out to long-off ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Harshal Patel, Shivam Mavi,1,0,yorker,off side,long-off,beaten,,,202158
18.6," Ferguson to Shahbaz Ahmed, out Caught by Shivam Mavi!! It's a 143kph, full toss on the legs. It's probably the easist delivery to deal with at this stage. And thus, Ahmed throws his bat at it early in trying to heave it to leg, and ends up with a thick leading-edge off the bottom of the bat spooning out to deep square leg. Shahbaz Ahmed c Shivam Mavi b Ferguson 13(14) [4s-1] ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Shahbaz Ahmed, Ferguson,out,out,Full,,deep square,edge,143.0,"Catch out , shivam mavi",202158
18.5," Ferguson to Christian, 1 run, 142kph, back of a length, just outside off. Christian throws his bat out at it, and inside-edges it past his stumps to short fine leg ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Christian, Ferguson,1,0,Back of Length,off side,short fine leg,edge,142.0,,202158
18.4," Ferguson to Shahbaz Ahmed, 1 run, 146kph, slapped hard and straight to extra cover, and again, they run for everything, and again, a direct hit would/should have been the end ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Shahbaz Ahmed, Ferguson,1,0,,,straight,,146.0,,202158
18.3," Ferguson to Christian, 1 run, 148.3kph, cross-seamed, good length, angling in on middle. Punched straight to mid-off, and a direct hit from out there would've been curtains ",1st Inns,eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Shubman Gill, Venkatesh Iyer, Nitish Rana, Rahul Tripathi, Eoin Morgan(c), Dinesh Karthik(w), Shakib Al Hasan, Sunil Narine, Lockie Ferguson, Shivam Mavi, Varun Chakaravarthy",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 11,2021",Royal Challengers Bangalore have won the toss and have opted to bat,Kolkata Knight Riders won by 4 wkts,Sunil Narine,RCB,bat,RCB,KKR,Christian, Ferguson,1,0,Good,stump line,straight,,148.3,,202158
