ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
19.6," Harshal Patel to Holder, out Caught by Christian!! Straight up and caught at long-on. These off-cutters are working like a dream for Harshal Patel this IPL. Holder waits and lofts but gets more height than distance. Easy take for DC. SRH end on 141. Holder c Christian b Harshal Patel 16(13) [4s-2] ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Holder, Harshal Patel
19.5," Harshal Patel to Rashid Khan, 1 run, low full-toss, helicoptered to deep mid-wicket where it is taken but it won't count as it is a free-hit ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Rashid Khan, Harshal Patel
19.5," Harshal Patel to Rashid Khan, no ball, oopsy! Harshal Patel bowls a loopy full-toss that has Rashid Khan ducking under that. The batsman looks at the square-leg umpire and it's a no-ball for height, may well have slipped out of Harshal Patel's hand ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Rashid Khan, Harshal Patel
19.4," Harshal Patel to Rashid Khan, no run, unlucky for Rashid Khan and SRH. The batter hammers it back and the ball hits the stumps at the other end, Holder was looking for the single and was out of his crease, since the bails were off, Harshal Patel had to take the stump out, but Holder made it before he did so. Third umpire makes the call ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Rashid Khan, Harshal Patel
19.3," Harshal Patel to Holder, 1 run, full outside off, Holder lofts on the bounce to long-off, was the off-cutter again ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Holder, Harshal Patel
19.2," Harshal Patel to Holder, no run, beaten by the slower one, not surprising at all, Harshal Patel gets the better of Holder's big hit attempted ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Holder, Harshal Patel
19.1," Harshal Patel to Holder, 2 runs, full ball outside off, driven to point, Holder was well out had the throw hit, instead they get one more as there's no backing up ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Holder, Harshal Patel
18.6," Siraj to Rashid Khan, no run, two dots in a row. Great end to the over for RCB and Siraj. Pacy yorker outside off, Rashid Khan fails to get bat on the steer to third man. Too quick for him ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Rashid Khan, Siraj
18.5," Siraj to Rashid Khan, no run, change-up, pace-off full ball outside off, Rashid Khan swings and misses ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Rashid Khan, Siraj
18.4," Siraj to Holder, 1 run, full outside off, Holder drives to extra-cover, just a single ",1st Inns,52n,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, Shahbaz Ahmed, George Garton, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal","Sunrisers Hyderabad (Playing XI): Jason Roy, Wriddhiman Saha(w), Kane Williamson(c), Priyam Garg, Abhishek Sharma, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Umran Malik",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 06,2021",Royal Challengers Bangalore have won the toss and have opted to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,RCB,field,SRH,RCB,Holder, Siraj
