ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Boult to Mustafizur, 1 run, once more makes room and drills the drive to sweeper cover, just a single ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
19.5," Boult to Mustafizur, SIX, wow! That's some hit by Mustafizur. Brought a few smiles in the RR dugout. He backed away and waited for the slot ball, Boult lands it right in the arc and the Fizz launches it over long-off ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
19.4," Boult to Mustafizur, no run, slower ball dug into the surface, Mustafizur backs away and slashes hard, the ball lobs over his swingiing blade and goes on the bounce to Kishan ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
19.3," Boult to Mustafizur, no run, fullish delivery and Mustafizur drills to mid-off, denies the single ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
19.2," Boult to Mustafizur, no run, tries to show some intent but jams the drive into the ground, goes straight to Boult ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
19.1," Boult to Mustafizur, no run, full and at the stumps, Mustafizur blocks it down the wicket ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
18.6," Coulter-Nile to Kuldip Yadav, no run, full and close to off, Yadav defends to cover. NCN is done with the ball. He finishes with career-best IPL figures - 4-0-14-4 ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
18.5," Coulter-Nile to Mustafizur, 1 run, fuller and around off, Mustafizur pushes and the outside edge rolls to third man ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
18.4," Coulter-Nile to Chetan Sakariya, out Bowled!! Cleaned up! NCN picks up his fourth. Another batter departs playing across the line. This is not a surface to play cross-batted shots. Yes, it was marginally short and Sakariya goes for the ill-advised pull, the ball keeps low and sneaks under his swinging balde, crashing into middle-stump. Chetan Sakariya b Coulter-Nile 6(11) [4s-1] ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
18.3," Coulter-Nile to Chetan Sakariya, no run, makes room and tries to force it through the off-side, mistimed to cover ",1st Inns,51s,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Shreyas Gopal, Kuldip Yadav, Mustafizur Rahman, Chetan Sakariya","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Suryakumar Yadav, Saurabh Tiwary, Kieron Pollard, Hardik Pandya, James Neesham, Nathan Coulter-Nile, Jayant Yadav, Jasprit Bumrah, Trent Boult",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Oct 05,2021",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Nathan Coulter-Nile,MI,field,RR,MI
