ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen
 19.6 ," Chetan Sakariya to J Richardson, out Caught by Chris Morris!! Slower ball wide of off, Richardson tries swatting it down the ground but only gets the toe-end to it. Can't clear long-on. J Richardson c Chris Morris b Chetan Sakariya 0(2) ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 19.5 ," Chetan Sakariya to J Richardson, no run, slower ball outside off, short of length, Richardson swings and misses ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 19.4 ," Chetan Sakariya to Shahrukh Khan, 1 run, slower short ball, Shahrukh muscles the pull to deep midwicket ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 19.3 ,"Chetan Sakariya to Shahrukh Khan, no run, swing and a miss from Shahrukh as the slower ball cuts away outside off",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 19.2 ,"Chetan Sakariya to Rahul, out Caught by Rahul Tewatia!! Special catch from Tewatia who takes it right on the edge of the ropes, with the ball behind him, then tosses it up as he goes over the boundary, before running back in, diving forward and grabbing it again. See it so often these days. It was decently struck by Rahul. Was in the slot for him with Sakariya missing the blockhole. Tried clearing the midwicket boundary and would've done so if not for Tewatia. Rahul c Rahul Tewatia b Chetan Sakariya 91(50) [4s-7 6s-5]",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 19.1 ," Chetan Sakariya to Rahul, FOUR, full and wide from round the wicket, slower ball, Rahul reaches out for it and carves it over extra cover. Has gone into the 90s ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 18.6 ," Mustafizur to Shahrukh Khan, FOUR, ah not a great delivery. Probably needed to get this slower ball wider. But he bowls it right into the body. Sits up from short of length and all Shahrukh has to do is pull it over the fielders at square leg and fine leg who're both in the circle ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 18.5 ," Mustafizur to Rahul, 1 run, similar ball, this time cuts it to cover in the ring ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 18.4 ," Mustafizur to Rahul, 2 runs, off-cutter dug into the pitch outside off, Rahul cuts to the left of sweeper cover. Easy two ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
 18.3 ," Mustafizur to Rahul, FOUR, wasn't far from the blockhole outside off. But the distance by which he misses the mark is enough for Rahul to get under the ball as he carves it over extra cover ",PBKS Inns,4th,Rajasthan Royals,Punjab Kings,"Rajasthan Royals (Playing XI): Manan Vohra, Ben Stokes, Sanju Samson(w/c), Jos Buttler, Riyan Parag, Shivam Dube, Rahul Tewatia, Chris Morris, Shreyas Gopal, Chetan Sakariya, Mustafizur Rahman","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Jhye Richardson, Murugan Ashwin, Riley Meredith, Mohammed Shami, Arshdeep Singh",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 12,2021",Rajasthan Royals have won the toss and have opted to field,Punjab Kings won by 4 runs,Sanju Samson,RR,field
