ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Harshal Patel to Chetan Sakariya, out Caught by de Villiers!! Wicket number 26. That Purple Cap will stay on for a while with such performances. Another good day in the office for Harshal Patel as he ends with 4-0-34-3. Slower ball outside off and Sakariya fetches it to tonk it over long-on, only height and no distance and a simple catch for AB. Chetan Sakariya c de Villiers b Harshal Patel 2(2) ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chetan Sakariya, Harshal Patel,out,out,Good,off side,long-on,,,"Catch out , de villiers"
19.5," Harshal Patel to Chetan Sakariya, 2 runs, low full toss and Sakariya drags it off the toe-end to deep mid-wicket, he wanted the second and pushed for it, DDP swooped down and sends in a flat throw to Srikar Bharat, but a full length dive from Sakariya saved him ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chetan Sakariya, Harshal Patel,2,0,Full,,mid-wicket,push shot,,
19.4," Harshal Patel to Kartik Tyagi, 1 run, goes to the same delivery that got Rahul Chahar. The dipping slower ball but Tyagi was waiting for it, brings the bat down and works it to deep mid-wicket ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Kartik Tyagi, Harshal Patel,1,0,,,mid-wicket,,,
19.3," Harshal Patel to Chris Morris, out Caught by Padikkal!! Wow! That's a stunning catch. Harshal is on a hat-trick, again. Can he? Another full delivery close to yorker length, Morris manages to get under it and slices the loft flat towards deep extra cover, that ball was traveling and DDP was on the move as well, but he managed to get both hands and take it to his right. The speed was such that he had to hit the ground. Chris Morris c Padikkal b Harshal Patel 14(11) [4s-2] ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chris Morris, Harshal Patel,out,out,Full,,deep extra cover,,,"Catch out , padikkal"
19.2," Harshal Patel to Riyan Parag, out Caught by Kohli!! Harshal's first wicket in the game. Very similar to the ones he has got this season. The slower off-cutter and Parag had to go after it, goes hard and slices it off the bottom towards extra cover, Kohli settles under it and takes it close to the body. Riyan Parag c Kohli b Harshal Patel 9(16) ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Riyan Parag, Harshal Patel,out,out,,,extra cover,cut shot,,"Catch out , kohli"
19.1," Harshal Patel to Riyan Parag, no run, wide yorker and this is clearly inside the guideline, Parag cannot dig it out and it is a dot to start ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Riyan Parag, Harshal Patel,0,0,yorker,wide,,,,
18.6," Siraj to Riyan Parag, 1 run, 143.8kph delivery close to yorker length, Parag's fast hands allow him to drill it to long-off ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Riyan Parag, Siraj,1,0,yorker,,long-off,,143.8,
18.5," Siraj to Chris Morris, 1 run, this time Morris reaches for the wide yorker and squeezes to sweeper cover ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chris Morris, Siraj,1,0,yorker,wide,sweeper,,,
18.5," Siraj to Chris Morris, wide, that's a harsh call from the umpire. Siraj keeps staring at the wide guideline. Yorker outside off and it seemed to have pitched just inside the marker but the umpire did not think so ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chris Morris, Siraj,wide,1,yorker,wide,,wide,,
18.4," Siraj to Chris Morris, FOUR, much needed boundary for RR. They need few more of this. Dipping full toss and Morris picked his spot, with square leg inside the ring he just swiped it in front of square and beat a diving Maxwell in the deep ",1st Inns,43r,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Liam Livingstone, Mahipal Lomror, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Srikar Bharat(w), Glenn Maxwell, AB de Villiers, Daniel Christian, George Garton, Shahbaz Ahmed, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Sep 29,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 7 wkts,Yuzvendra Chahal,RCB,field,RR,RCB,Chris Morris, Siraj,4,0,Full,,square leg,,,
