ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Shankar to Miller, SIX, boom! Superb end. Shankar goes wider of off, Miller hangs his bat at this and dispatches it flat and powerfully over extra cover. Maximummmmm!! ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Miller, Shankar,6,0
19.5," Shankar to Riyan Parag, 1 run, shortish outside off, cross-batted to long-on. Hit it too hard, so will settle for a single ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Riyan Parag, Shankar,1,0
19.4," Shankar to Riyan Parag, 2 runs, 122.8kph, slower delivery outside off, Parag toe-ends it towards long-off. They go for the second and will get it ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Riyan Parag, Shankar,2,0
19.3," Shankar to Miller, 1 run, fuller length delivery outside off, smacked to deep extra cover but there's a fielder out there ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Miller, Shankar,1,0
19.2," Shankar to Miller, no run, slower ball from round the stumps and dupes Miller, who doesn't read it and mows it blindly. No connection whatsoever ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Miller, Shankar,0,0
19.1," Shankar to Riyan Parag, 1 run, goes hard at this, Parag somehow gets a thick edge to the right of the keeper ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Riyan Parag, Shankar,1,0
18.6," Sandeep Sharma to Buttler, out Bowled!! Chopped on! Some respite for Sharma and SRH. Very full delivery outside off, a tired looking Buttler wanted to maul it out of the park, no feet in attempting it. Elicits an inside edge which drags back onto the stumps. Parag congratulates him, so does some of the SRH fielders as he makes his way out. The entire RR dug-out is thrilled.Buttler b Sandeep Sharma 124(64) [4s-11 6s-8] ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Buttler, Sandeep Sharma,out,out
18.5," Sandeep Sharma to Buttler, SIX, trouble, trouble and more trouble for SRH. What a shot this is from Buttler. He was completely off in position after throwing his weight at this short delivery outside off, but generates remarkable power in getting a lot of wood on this to murder it over sweeper cover for a six. How do you bowl when he's in this kind of form? ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Buttler, Sandeep Sharma,6,0
18.5," Sandeep Sharma to Buttler, no ball, SIX, the magic of bottom-hand power. RR go past 200. Tom Moody in the dug-out in stunned. Fuller length, Sharma doesn't learn and gets penalised. Buttler nonchalantly smokes it a mile over long-on. Oh dear! The siren goes off meaning it's a no-ball as Sharma has overstepped ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Buttler, Sandeep Sharma,no ball,1+6
18.4," Sandeep Sharma to Buttler, FOUR, similar delivery, Buttler outfoxes the bowler. Jumped across, reached out and spanks it uppishly over extra cover ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Anuj Rawat, David Miller, Riyan Parag, Rahul Tewatia, Chris Morris, Kartik Tyagi, Chetan Sakariya, Mustafizur Rahman","Sunrisers Hyderabad (Playing XI): Jonny Bairstow(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Vijay Shankar, Abdul Samad, Mohammad Nabi, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed",,,IPL,2021,"Arun Jaitley Stadium,Delhi","May 02,2021",Sunrisers Hyderabad have won the toss and have opted to field,Rajasthan Royals won by 55 runs,Jos Buttler,SRH,field,RR,SRH,Buttler, Sandeep Sharma,4,0
