ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
19.6," Holder to Maxwell, out Caught by W Saha!! RCB finish with 149/8. Holder claims his third wicket of the innings. Keeps it full and wide outside off and Maxwell's swing finds an outside edge. Saha takes it comfortably, but Maxwell has done his job. Gets a pat on his back from his team mates as he rushes back to the dressing room. Maxwell c W Saha b Holder 59(41) [4s-5 6s-3] ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.6," Holder to Maxwell, wide, Holder and Saha look disappointed because Maxwell was moving across. Was very wide though, and probably the right call by the umpire ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.5," Holder to Maxwell, 2 runs, hooks this short ball to deep square leg and a fumble by Rashid Khan results in the second run ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.5," Holder to Maxwell, wide, fired outside off, misses the tramline comfortably as the batsman fails to reach out for it ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.4," Holder to Maxwell, SIX, that's the reason why he wanted the strike. Holder offers him a juicy full toss and Maxwell has clubbed it over deep square leg for a massive six. RCB on the verge of getting closer to the 150-run mark ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.4," Holder to Maxwell, wide, pressure on the bowler as he bowls a short bouncer down the leg side ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.3,"Holder to Maxwell, 2 runs, an IPL fifty for Maxwell after ages - since 2016! A full length delivery by Holder, right into the slot and Maxwell has flicked it towards deep backward square leg as he takes a couple of runs to bring up the milestone",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell,Holder
19.2," Holder to Maxwell, no run, slaps this short ball to long-on on one bounce, but he doesn't take the single. Wants to keep the strike and make the most of this last over ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, Holder
19.1," Holder to Jamieson, out Caught by Manish Pandey!! Some catching practise for Manish Pandey, he is not going to miss out on those. Was a full length ball by Holder and Jamieson lofted it straight to the gun fielder stationed at long-on. Got the elevation, but couldn't get the desired distance due to lack of timing and power. Jamieson c Manish Pandey b Holder 12(9) [4s-2] ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Jamieson, Holder
18.6," T Natarajan to Maxwell, FOUR, ends the over with four more! A full toss by Natarajan and Maxwell and heaved it away to the left of deep square leg as he moves upto to 49* ",1st Inns,6th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), David Warner(c), Manish Pandey, Jonny Bairstow, Vijay Shankar, Jason Holder, Abdul Samad, Rashid Khan, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Devdutt Padikkal, Shahbaz Ahmed, Glenn Maxwell, AB de Villiers(w), Washington Sundar, Daniel Christian, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 14,2021",Sunrisers Hyderabad have won the toss and have opted to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,SRH,field,RCB,SRH,Maxwell, T Natarajan
