ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Nortje to Dhoni, 2 runs, low full toss around off, Dhoni does not manage to get under it and drives it to long-off, he pushes for the second and Bravo has to hurry, he puts in the dive and makes his ground ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dhoni, Nortje,2,0,Full
19.5," Nortje to Dhoni, 2 runs, perfect yorker from Nortje and Dhoni can only dig it out to long-on, he called for two immediately and Bravo responds, Warner runs in and sends in a flat throw to the bowler's end, Nortje does not collect and allows Bravo to make his ground ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dhoni, Nortje,2,0,yorker
19.4," Nortje to Dwayne Bravo, 1 run, full and just short of yorker length, Bravo drives to sweeper cover and hands the strike back to Dhoni ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dwayne Bravo, Nortje,1,0,Full
19.3," Nortje to Uthappa, out Caught by (sub)K Nagarkoti!! Two in two for Nortje. He's on a hat-trick. What these wickets are doing is keeping Dhoni at the other end. It was the leg-cutter for the right hander, angled in and it was in the arc, Uthappa picked it off the hips and whipped it to deep backward square. Nice low catch from Nagarkoti. This would have been a six on the other side but Uthappa was trying to hit to the biggest part. Uthappa c (sub)K Nagarkoti b Nortje 0(1) ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Uthappa, Nortje,out,out,
19.2," Nortje to Moeen Ali, out Caught by Warner!! Moeen perishes for the team's cause. Nortje goes with the slower ball and angles it across, Moeen does not get it anywhere close to the middle and skies it straight up, Warner runs in from long-off and takes a good catch. Moeen Ali c Warner b Nortje 9(4) [4s-2] ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Moeen Ali, Nortje,out,out,Good
19.1," Nortje to Moeen Ali, FOUR, good ball and it still cost Nortje a boundary. Spears it in the blockhole, Moeen tries to squeeze it out and the toe-end races away fine, third man was inside the ring and there was no chance of stopping that ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Moeen Ali, Nortje,4,0,Good
18.6," Khaleel Ahmed to Dhoni, SIX, almost a stunning grab from Warner. Slower back of a length delivery, Dhoni muscles it off the back foot towards long-off and Warner runs to his right, dives full length and gets a fingertip. Those catches need to stick and unfortunately for Warner it didn't ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dhoni, Khaleel Ahmed,6,0,Back of Length
18.6," Khaleel Ahmed to Dhoni, wide, off-pace delivery but Khaleel sprays it way outside off, Dhoni swings and misses ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dhoni, Khaleel Ahmed,wide,1,
18.5," Khaleel Ahmed to Dhoni, no run, angled outside off, Dhoni moves across and whips it straight to backward square leg. Short fine and backward square are inside the ring and Dhoni was trying to bisect them or go over them ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Dhoni, Khaleel Ahmed,0,0,Short
18.4," Khaleel Ahmed to Moeen Ali, 1 run, and again goes short with minimal protection, Moeen miscues the pull backward of square and Dhoni is happy with a single ",1st Inns,55t,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, MS Dhoni(w/c), Shivam Dube, Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Axar Patel, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 08,2022",Delhi Capitals have won the toss and have opted to field,Chennai Super Kings won by 91 runs,Devon Conway,DC,field,CSK,DC,Moeen Ali, Khaleel Ahmed,1,0,Short
