ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Russell to Jadeja, SIX, and Jadeja finally finds the middle of the bat last ball of the innings. Low full toss, Jadeja goes deep to target leg-side, but adjusts to this off-side ball and slices it over cover ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Jadeja, Russell,6,0,Full,,off-side
19.5," Russell to Dhoni, 1 run, round the wicket and looking for the wide yorker, Dhoni drills it to long-off. And that is fifty number 24 in IPL for MS Dhoni. He was 2 off 10 balls at one point, scored 48 off the next 28 balls. Age is just a number you see! Gentle raise of the bat to acknowledge all the applause ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Russell,1,0,yorker,wide,long-off
19.4," Russell to Dhoni, FOUR, oh ho ho! What batting this is. Russell misses the yorker, Dhoni stays deep in the crease and takes those extra inches to convert this into a full ball. Flicked with those strong wrists and long-on was just a spectator ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Russell,4,0,yorker,,long-on
19.3," Russell to Dhoni, FOUR, the finisher is still finishing! Short and down leg, spots backward square leg is open. Swivels and places the pull shot without trying to hit hard and gets four more ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Russell,4,0,Short,,square leg
19.2," Russell to Dhoni, 2 runs, pulled away but cut off at deep mid-wicket ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Russell,2,0,,,mid-wicket
19.1," Russell to Jadeja, 1 run, low full toss, Jadeja not timing, so he pushes to long-on saying over to you Indian cricket's actual skipper at heart for many ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Jadeja, Russell,1,0,Full,,long-on
18.6," Shivam Mavi to Dhoni, no run, beaten! He's bowled three very good slower balls to deceive the batters but CSK got those vital two hits away in the over. Dhoni went hard and missed as he played early. Two runs in the first half of that over, 13 in the second half ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Shivam Mavi,0,0,Good,,
18.6," Shivam Mavi to Dhoni, no ball, SIX, full toss, top edgeeee flies all the way. And it's a no ball above waist too. Shivam Mavi did ask for a towel a couple of balls ago. Sure dew is around and he is not able to grip the ball. Tries the yorker but completely loses it. Dhoni swings across the line and he a big bat for the edge to carry all the way ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Shivam Mavi,no ball,1+6,Full,,
18.5," Shivam Mavi to Dhoni, FOUR, the power, the MS Dhoni power for a one-handed loft over cover. Shivam Mavi misses the yorker and bowls a low full toss. Who wants both hands on the handle when one will do for an inside out loft. ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Dhoni, Shivam Mavi,4,0,yorker,,cover
18.4," Shivam Mavi to Jadeja, 1 run, again a well bowled short slower delivery, Jadeja not able to time the pull, rolls through mid-wicket ",1st Inns,1st,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Mitchell Santner, Adam Milne, Tushar Deshpande","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Shreyas Iyer(c), Nitish Rana, Sam Billings, Andre Russell, Sunil Narine, Sheldon Jackson(w), Umesh Yadav, Shivam Mavi, Varun Chakaravarthy",,,IPL,2022,"Wankhede Stadium,Mumbai","Mar 26,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field,CSK,KKR,Jadeja, Shivam Mavi,1,0,Short,,mid-wicket
