ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
15.6," Meredith to Dhoni, out Mukesh Choudhary Run Out!! The plan to steal a single come-what-may has clearly backfired here. It was a bumper from Meredith, Dhoni was in two minds and decides to take off after allowing the ball to sail through to the keeper. It could have been a wide, but Ishan Kishan nails the direct hit and catches Mukesh Choudhary well short of the crease. He was slightly slow to take off but never looked like making it. Mukesh Choudhary run out (Ishan Kishan) 4(4) [4s-1] ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,out,out,Short,wide,keeper,,,"run out ,(Ishan Kishan)"
15.5," Meredith to Dhoni, no run, back to pace now. 138ks short of length outside off, Dhoni cuts but can't beat backward point ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,0,0,Short,off side,backward point,Cut,,
15.4," Meredith to Dhoni, SIX, Dhoni knew what was coming. It was slower, shorter and wider. He had all the time in the world to pick it up his back foot and maul the pull for a 77-metre maximum over deep square ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,6,0,Short,wide,deep square,pull shot,,
15.3," Meredith to Dhoni, no run, back of a length outside off at 134ks, tapped with soft hands into the off-side ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,0,0,Back of Length,off side,off-side,,,
15.2," Meredith to Dhoni, no run, skiddy short of length delivery outside off, punched straight to backward point ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,0,0,Short,off side,straight,,,
15.1," Meredith to Dhoni, FOUR, that's a freebie and Dhoni takes full toll of it. Short and down the leg-side, Dhoni with his one-legged pull, neatly helping it along the ground past the diving effort of fine leg to his left ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Meredith,4,0,Full,,fine leg,pull shot,,
14.6," Daniel Sams to Mukesh Choudhary, no run, full toss on the stumps, Mukesh is happy to push it gently towards mid-on. Over to MSD... ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Mukesh Choudhary, Daniel Sams,0,0,Full,stump line,mid-on,push shot,,
14.5," Daniel Sams to Dhoni, 1 run, slower short ball angled into the body, Dhoni swivels and drags the pull to the right of deep square ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Daniel Sams,1,0,Short,,deep square,pull shot,,
14.4," Daniel Sams to Dhoni, no run, back of a length outside off, Dhoni hops and punches it to the left of cover ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Daniel Sams,0,0,Back of Length,off side,cover,,,
14.4," Daniel Sams to Dhoni, wide, digs it well short and outside off, Dhoni lets it go. Called wide for height ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Dhoni, Daniel Sams,wide,1,Short,wide,,wide,,
