ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Bhuvneshwar to Jordan, 2 runs, full, wide, and a mistimed swipe down to long-off. Again, +2 ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jordan, Bhuvneshwar,2,0,Full,wide
19.5," Bhuvneshwar to Jordan, 2 runs, low full toss on middle, whipped through mid-wicket. +2 ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jordan, Bhuvneshwar,2,0,Full,stump line
19.4," Bhuvneshwar to Jordan, 2 runs, loses a bit of his shape as he swipes at this delivery outside off, loses his bottom-hand as well, and the ball balloons straight back over the bowler's head, to land in between long-off and long-on running in ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jordan, Bhuvneshwar,2,0,,off side
19.4," Bhuvneshwar to Jordan, wide, bouncer, pulled, missed. Doesn't matter, it's way too short ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jordan, Bhuvneshwar,wide,1,Short,wide
19.3," Bhuvneshwar to Jadeja, out Caught by Williamson!! Bhuvneshwar sticks to his plan of angling it wide and not feeding Jadeja in his V. Jadeja sticks to his plan of throwing his bat at everything. It's a full toss, way outside off, which ends up getting skewed off the outside-half, to a back-pedalling Williamson at extra cover. Jadeja c Williamson b Bhuvneshwar 23(15) [4s-2 6s-1] ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jadeja, Bhuvneshwar,out,out,Full,stump line
19.3," Bhuvneshwar to Jadeja, wide, fuller, but in his quest to try and keep it out of Jadeja's swinging arc, Bhuvneshwar's been spraying it way outside off ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jadeja, Bhuvneshwar,wide,1,Full,wide
19.3," Bhuvneshwar to Jadeja, wide, short, angling away, but going way outside off in the process. Jadeja does his best to try and reach out with a cut ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Jadeja, Bhuvneshwar,wide,1,Short,wide
19.2," Bhuvneshwar to Dwayne Bravo, 1 run, back of a length, angling in, pulled off the inside-half to deep mid-wicket ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Dwayne Bravo, Bhuvneshwar,1,0,Back of Length,
19.1," Bhuvneshwar to Dwayne Bravo, FOUR, full toss, and launched downtown. Just sheer bottom-handed Calypso-swagger, tonking straight back over Bhuvi's head ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Dwayne Bravo, Bhuvneshwar,4,0,Full,
19.1," Bhuvneshwar to Dwayne Bravo, wide, tries following Bravo's backing away with a full one on his pads. But no, it goes further down leg ",1st Inns,17t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), Shivam Dube, MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 09,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Abhishek Sharma,SRH,field,CSK,SRH,Dwayne Bravo, Bhuvneshwar,wide,1,Full,wide
