ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Thakur to Ishan Kishan, 1 run, gets the yorker right, so Ishan can only dig it out to the right of the bowler ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Ishan Kishan, Thakur,1,0,yorker,
19.5," Thakur to Ishan Kishan, FOUR, full toss, cannot bowl a full toss at this stage to a set batter. Ishan goes deep in the crease and whips it powerfully through square leg. Moves into the 80s now ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Ishan Kishan, Thakur,4,0,Full,
19.4," Thakur to Ishan Kishan, FOUR, what an outstanding shot. Thakur goes for the yorker and just misses it, Ishan stands deep in the crease to get that extra room. Flicked so powerfully and he has managed to find the game at deep mid-wicket too ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Ishan Kishan, Thakur,4,0,yorker,
19.3," Thakur to Daniel Sams, 1 run, and there is Shardul's awareness to bowl a lovely slower delivery, Sams slogged early, toe-ended this towards the keeper. Pant couldn't take the glove off in time to throw, so Ishan Kishan races across to steal a run ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Daniel Sams, Thakur,1,0,,
19.2," Thakur to Daniel Sams, SIX, oh ho ho! Look how high that has been smashed! Knows Shardul is looking for the wide yorker, so stands across the stumps and muscles it high over long-off ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Daniel Sams, Thakur,6,0,yorker,wide
19.2," Thakur to Daniel Sams, wide, bowls the wide yorker and is wide ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Daniel Sams, Thakur,wide,1,yorker,wide
19.1," Thakur to Ishan Kishan, 1 run, wide yorker outside off stump, Ishan reaches out and mistimes the drive to long-off ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Ishan Kishan, Thakur,1,0,yorker,wide
18.6," Khaleel Ahmed to Tim David, out Caught by Mandeep at deep backward point!! Smart bowling from Khaleel Ahmed. Two men square deep on the fence. So he bowled a wide full ball to invite the big hit. David slices it towards deep point and taken in the deep. Second wicket for Khaleel Ahmed off the final ball of his spell. Good outing for him too! Tim David c Mandeep b Khaleel Ahmed 12(8) [6s-1] ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Tim David, Khaleel Ahmed,out,out,Full,wide
18.5," Khaleel Ahmed to Tim David, no run, oh full delivery angling across, Tim David had a mighty swing at it and missed. That was a slot ball missed ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Tim David, Khaleel Ahmed,0,0,Full,
18.4," Khaleel Ahmed to Ishan Kishan, 1 run, very full delivery, Ishan drills it to long-off ",1st Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,MI,DC,Ishan Kishan, Khaleel Ahmed,1,0,Full,
