ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Mustafizur to Arshdeep Singh, out Arshdeep Singh Run Out!! Sums up PBKS innings this run-out. Comical stuff. Yorker length outside off, Arshdeep Singh swings and misses, he runs and sees Vaibhav Arora not responding. Pant jogs and whips the bails off. Bewildered look on Arshdeep's face. Vaibhav never was interested in a single and PBKS have been bowled out for 115. Arshdeep Singh run out (Pant) 9(17) [4s-2] ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,out,out,yorker,off side,,beaten,,"run out ,(Pant)",202232
19.5," Mustafizur to Arshdeep Singh, no run, same story. Full outside off, Arshdeep Singh drives this time and misses ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,0,0,Full,off side,,beaten,,,202232
19.4," Mustafizur to Arshdeep Singh, no run, speared in full outside off, Arshdeep Singh again is backing away too far outside leg, can't reach out to put bat on ball ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,0,0,Full,off side,,,,,202232
19.3," Mustafizur to Arshdeep Singh, no run, full outside off, Arshdeep Singh moves outside leg and has no chance of laying bat on ball as he leaves ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,0,0,Full,off side,,leave,,,202232
19.2," Mustafizur to Arshdeep Singh, FOUR, this is a full-toss on the stumps and Arshdeep Singh smashes it straight back. Runs away to the fence. Some respite for PBKS ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,4,0,Full toss,stump line,straight,,,,202232
19.1," Mustafizur to Arshdeep Singh, no run, great stop by Pant. Saved four. How did that miss the stumps though? Full-toss tailing back in, Arshdeep Singh swings and the thin bottom-edge lands in front of Pant who dives to his right to stop ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,0,0,Full toss,,,edge,,,202232
18.6," Khaleel Ahmed to Arshdeep Singh, 1 run, yorker length on the stumps, Arshdeep Singh backs away and somehow gets a thick bottom-edge that dribbles away to deep backward square ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Khaleel Ahmed,1,0,yorker,stump line,deep backward square,edge,,,202232
18.5," Khaleel Ahmed to Arshdeep Singh, no run, wild swing and a miss. Length ball on the stumps, the extra bounce takes it over Arshdeep Singh's swing ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Khaleel Ahmed,0,0,Good,stump line,,beaten,,,202232
18.4," Khaleel Ahmed to Arshdeep Singh, no run, short on the stumps, Arshdeep Singh backs away and slashes, misses ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Khaleel Ahmed,0,0,Short,stump line,,beaten,,,202232
18.3," Khaleel Ahmed to Vaibhav Arora, 1 run, good length on the stumps, Vaibhav Arora backs away and taps it wide of cover for a single ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Vaibhav Arora, Khaleel Ahmed,1,0,Good,stump line,cover,,,,202232
