ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,toss_winner.1,toss_choosen.1,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Thakur to Samson, SIX, Pant is now angry at Thakur. For the full-toss on the stumps, so easy for Samson who swings it over deep mid-wicket to better RR's own 217 against KKR in their last game - to record the highest score this IPL ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,6,0,Full toss
19.5," Thakur to Samson, FOUR, bottom-edge and wide of the diving Kuldeep at short third. Length ball outside off, Samson throws the bat and gets lucky beating the dive from the spinner. Thakur is unhappy and shows off his anger at the senior bowler. He wanted a better effort ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,4,0,Short
19.4," Thakur to Hetmyer, 1 run, full-toss on the stumps, Hetmyer toe-ends it to deep mid-wicket. Missed out there ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Hetmyer, Thakur,1,0,Full toss
19.3," Thakur to Samson, 1 run, right up there outside off, Samson drags it to deep mid-wicket ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,1,0,
19.3," Thakur to Samson, wide, just wide of the line as Samson leaves. Takes the wide ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,wide,1,
19.2," Thakur to Samson, FOUR, right in the slot outside off, Samson stands and delivers. Drilled hard and flat over Hetmyer. Long-off can't get there ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,4,0,Slot
19.1," Thakur to Samson, 2 runs, full outside off, carved in the air, and just on the bounce to the onrushing deep cover, Hetmyer has to be quick and gets there beating Thakur's flick-back onto the stumps ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,2,0,Full
19.1," Thakur to Samson, wide, Thakur from round the wicket, sprays it wide outside off, Samson drives and misses. Called a wide ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,wide,1,
18.6,"Mustafizur to Buttler, out Caught by Warner!! End of Buttler. Low full-toss on the stumps, Buttler stays low but can't get under this whip enough. Holes out to long-on. Everyone inside the Wankhede give him a standing ovation as he walks back. Samson pats him on the way back. Nice touch from Shaw and Warner who punch his right glove as he walks off. Buttler c Warner b Mustafizur 116(65) [4s-9 6s-9]",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler,Mustafizur,out,out,Full toss
18.5," Mustafizur to Buttler, 2 runs, outstanding from Powell running from long-off. Drilled down the ground, Powell runs and sticks his right foot out, there's Warner coming in and he is almost close to colliding with the West Indian. After the foot is stuck out, the ball is rolling away to the fence, Powell does ever so well to pull it back with his right hand, keeping his right toe out of the cushions, avoids Warner and gets up with the ball in hand to keep it to two. One of the brilliant fielding efforts this season ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,2,0,
