ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Ferguson to Jadeja, out Shivam Dube Run Out!! 1 run completed. Full-toss hit back over Ferguson's head, Miller goes to his left at long-off and fields, tumbles and then turns around to throw it back to Ferguson on the bounce, Shivam Dube is caught short as Ferguson whips the bails off. Dube had to come back for the second but Miller again with more good work. Shivam Dube run out (Miller/Ferguson) 19(17) [4s-2] ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Jadeja, Ferguson,out,out,Full toss,,long-off,,,"Catch out , Ferguson"
19.5," Ferguson to Jadeja, SIX, consecutive sixes. This just clears deep mid-wicket. Again length and angled in, not the ball to be bowling to Jadeja at this stage, heaved off the bottom of the bat but has enough to clear the small side. 75-metre hit. Was the slower delivery and came out with the seam all scrambled. Jadeja finishing on a high ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Jadeja, Ferguson,6,0,,,mid-wicket,cut shot,,
19.4," Ferguson to Jadeja, SIX, Ferguson misses the yorker and Jadeja smashes it a long way over deep mid-wicket. Length bal angling in, right in Jadeja's swinging arc, monster hit as Jadeja gave it everything ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Jadeja, Ferguson,6,0,yorker,,mid-wicket,beaten,,
19.3," Ferguson to Shivam Dube, 1 run, superb death bowling. Ferguson fires the yorker outside off, Shivam Dube drives to long-off ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Shivam Dube, Ferguson,1,0,yorker,off side,long-off,off drive,,
19.2," Ferguson to Shivam Dube, no run, fine yorker outside off, Shivam Dube can't dig it out ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Shivam Dube, Ferguson,0,0,yorker,off side,,,,
19.1," Ferguson to Shivam Dube, FOUR, dropped by Manohar at deep square! Flicked miles in the air and Manohar was concerned about the cushions, he sets himself but his feet are very close to the boundary marker, one eye is on that and he drops the skier. That went so high and came down with snow on it literally. Bounces off his hand and down into the ground before slipping away ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Shivam Dube, Ferguson,4,0,,,deep square,flick shot,,
18.6," Rashid Khan to Shivam Dube, 1 run, quicker and cramps Shivam Dube on off, Dube swings but it's off the thick inside-edge to deep mid-wicket. Just the 6 off the 19th over - what an over for GT ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Shivam Dube, Rashid Khan,1,0,,off side,mid-wicket,edge,,
18.5," Rashid Khan to Jadeja, 1 run, the googly, Jadeja picks it and dabs it to backward point off the back foot ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Jadeja, Rashid Khan,1,0,,,backward point,dab,,
18.4," Rashid Khan to Jadeja, 2 runs, quicker but fuller on the stumps, Jadeja slogsweeps wide of Lockie at deep mid-wicket, comes back for the second ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Jadeja, Rashid Khan,2,0,Full,stump line,mid-wicket,slog shot,,
18.3," Rashid Khan to Shivam Dube, 1 run, quicker length ball on the stumps, Shivam Dube backs away and flat-bats it to long-on ",1st Inns,29th,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan(c), Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 17,2022",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 3 wkts,David Miller,GT,field,CSK,GT,Shivam Dube, Rashid Khan,1,0,Good,stump line,long-on,,,
