ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6,"Arshdeep Singh to Sai Sudharsan, 1 run, good finish from Arshdeep - pre-empted Sudharsan's lap sweep and bowled the slower ball, Sudharsan went across on the shot and was done in by the lack of pace - they were always running for the bye, but Jitesh Sharma gets confused, thinks he can run up to the stumps and run Alzarri Joseph out, but then he realises that he can't do so, attempts a shy at the other end, but comes up well short. GT finish with 143",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan,Arshdeep Singh,1,0,Good,,,
19.5," Arshdeep Singh to Sai Sudharsan, no run, the free-hit costs Arshdeep a wicket, full-toss at the stumps, Sudharsan swung across the line and misses, crashed into the middle-stump ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan, Arshdeep Singh,0,0,Full toss,stump line,,beaten
19.5,"Arshdeep Singh to Sai Sudharsan, no ball, FOUR, cheeky and four, Arshdeep keeps it full and well outside off - Sudharsan shuffles a long way across, gets inside the line and then paddles it over the keeper's head, one bounce and over the ropes - to make matters worse, it's a no-ball as they were only 3 men inside the ring",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan,Arshdeep Singh,no ball,1+4,Full,off side,keeper,
19.4," Arshdeep Singh to Sai Sudharsan, 2 runs, full and at the stumps, Sudharsan gets his bat down and drives it to the left of long-on, back for the second run ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan, Arshdeep Singh,2,0,Full,stump line,long-on,on drive
19.3," Arshdeep Singh to Alzarri Joseph, 1 run, slower length ball wide of off, Joseph chops hard, but without any timing, just a single to cover ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Alzarri Joseph, Arshdeep Singh,1,0,Good,wide,cover,
19.2," Arshdeep Singh to Sai Sudharsan, 1 run, wide full-toss from Arshdeep, driven down towards long-off for a single ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan, Arshdeep Singh,1,0,Full toss,wide,long-off,off drive
19.1," Arshdeep Singh to Alzarri Joseph, 1 run, full and on the pads, clipped away past mid-wicket for a single ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Alzarri Joseph, Arshdeep Singh,1,0,Full,stump line,mid-wicket,
18.6," Rabada to Alzarri Joseph, 1 run, short of a length and well wide of off, pulled away through mid-wicket for a single ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Alzarri Joseph, Rabada,1,0,Short,wide,mid-wicket,pull shot
18.5," Rabada to Sai Sudharsan, byes, 1 run, Rabada shortens the length and angles one qacross the left-hander, Sudharsan went chasing after that and missed, bounced awkwardly in front of the keeper who fumbles and allows a bye ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Sai Sudharsan, Rabada,byes,1,Short,,keeper,beaten
18.4," Rabada to Alzarri Joseph, 1 run, short of a length and around off, helped away past md-wicket with the pull for a single ",1st Inns,48t,Gujarat Titans,Punjab Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Pradeep Sangwan, Lockie Ferguson, Mohammed Shami","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 03,2022",Gujarat Titans have won the toss and have opted to bat,Punjab Kings won by 8 wkts,Kagiso Rabada,GT,bat,GT,PBKS,Alzarri Joseph, Rabada,1,0,Short,,,pull shot
