ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
19.6," Alzarri Joseph to Lomror, out Caught by Miller!! Almost an action replay of that dead ball, except that the ball hasn't hit the cables this time. Lomror looks to go downtown, but hasn't got the desired leverage on the stroke. Skies it down long-on's throat. RCB finish on a reasonable total. Lomror c Miller b Alzarri Joseph 16(8) [4s-2 6s-1] ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.5," Alzarri Joseph to Lomror, FOUR, the ramp is out and Lomror manages to get enough bat to clear short fine leg. And that pushes RCB into the 170s. Priceless cameo this from the young man ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.4," Alzarri Joseph to Lomror, 2 runs, very full and straight, whipped away wide of long-on and they come back for the second. Good flat throw at the bowler's end, Joseph whips off the bails quick but Shahbaz Ahmed was in with the slide ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.4," Alzarri Joseph to Lomror, wide, Joseph looks to respond with a wide yorker, gets it a bit too wide outside off ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.3," Alzarri Joseph to Lomror, SIX, tonked down the ground! These are big straight boundaries here at the Brabourne and it shows the power of Lomror. Gets a length ball, stays deep in the crease and hoists it into the sightscreen with a towering blow. RCB will want him to get one more maximum if possible ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.2," Alzarri Joseph to Shahbaz Ahmed, 1 run, wide low full toss, sliced away but only as far as sweeper cover ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
19.1,"Alzarri Joseph to Lomror, leg byes, 1 run, Lomror shuffles across early for the scoop, gets a faint bottom edge onto the pad and it dribbles to short fine leg",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.6,"Ferguson to Lomror, leg byes, 1 run, follows Lomror who is backing away early and squares him up a bit with the in-angler, the outside edge trickles just past Saha. Short third man tidies up",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.5," Ferguson to Lomror, FOUR, misses the yorker this time, low full toss and Lomror throws his bat on the drive, slamming it just wide of extra cover who was a touch slow to get down. And on this outfield, it's always racing away to the fence ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.4," Ferguson to Lomror, no run, superb yorker, sees Lomror backing away and nails the blockhole, kept out ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.3," Ferguson to Maxwell, out Caught by Rashid Khan!! Excellent catch! Rashid was trekking back and there was always an uncertainty of whether the ball will just go over his head. But the Afghanistan superstar is a fab athlete and takes the catch brilliantly. Priceless strike this, with the form Maxwell was showing. Wanted to slice this low full toss over extra cover, nobody sweeping there and a boundary was there for the taking. Unfortunately, he is denied by some sharp fielding. Maxwell c Rashid Khan b Ferguson 33(18) [4s-3 6s-2] ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.2," Ferguson to Maxwell, FOUR, he's toying with the field now. Third man up, Ferguson misses the yorker by the barest of inches and it's been sliced away, wide of the fielder in the ring ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
18.1," Ferguson to Maxwell, 2 runs, slower ball, Maxwell delays the drive but still doesn't get the perfect timing on the shot. Mid-off gets across with a slide, not a clean stop and Maxwell calls his partner back for the second. Will get it easy ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
17.6," Rashid Khan to Maxwell, 1 run, slightly slower, fuller, Maxwell works it away down to long-on. Will keep strike ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
17.5," Rashid Khan to Maxwell, FOUR, this has been belted ferociously! Switch Hit from Maxwell, knows point is up and whacks it merrily over the infield. Some hands he's got, so quick and the reflexes are also the best in the business ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
17.4," Rashid Khan to Shahbaz Ahmed, 1 run, very full and outside off, squeezed out through the covers ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
17.3," Rashid Khan to Karthik, out Caught by Shami at short fine leg!! The matchup card works for Gujarat against Karthik! He's never a comfortable starter against wrist spin, and at the death when the batters have to get going from ball one, never easy. Especially against someone like Rashid. Karthik was determined to play the sweep and clear short fine leg, doesn't quite get the desired length and gets a top edge. Comfortable catch for Shami who ambles forward to complete the take. Karthik c Shami b Rashid Khan 2(3) ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
17.2," Rashid Khan to Maxwell, 1 run, floated up on a length outside off, Maxwell makes room and drills it uppishly down to long-off ",RCB Inns,43r,Gujarat Titans,Royal Challengers Bangalore,"Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Pradeep Sangwan, Alzarri Joseph, Lockie Ferguson, Mohammed Shami","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Virat Kohli, Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Mahipal Lomror, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 30,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Gujarat Titans won by 6 wkts,Rahul Tewatia,RCB,bat
