ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss
 19.6 ,"Ferguson to Shashank Singh, SIX, where have you been hiding all along, Shashank Singh this season? 25 off the last over. Hat-trick of sixes. and Shashank is clapped off by his exultant team-mates. Full outside off, Shashank lofts and just about gets enough on it, Miller leaps backwards with his right-hand above his head to try and pull off a stunner but the ball clears him. What an innings this is",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 19.5 ," Ferguson to Shashank Singh, SIX, this is a magnificent innings from Shashank Singh. Low full-toss outside off and maybe he was expecting that, gets low and laps it all the way over fine-leg, used Ferguson's pace to get it over the fence. Ferguson is not happy, is muttering away ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 19.4 ," Ferguson to Shashank Singh, SIX, short outside off and Shashank Singh now hits a six. Shuffles across and clobbers it flat over deep mid-wicket. Was the bigger side but he cleared it easily ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 19.3 ," Ferguson to Marco Jansen, 1 run, length delivery outside off, Marco Jansen heaves and the bottom-edge runs to W Saha and they steal a single ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 19.2 ," Ferguson to Marco Jansen, no run, full and outside off, Marco Jansen reaches out to squeeze it out but misses ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 19.1 ," Ferguson to Marco Jansen, SIX, the slower delivery on a good length and the Eiffel Tower of a man - Marco Jansen gets forward and lofts all the way over long-on. Handy blow that ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.6 ," Alzarri Joseph to Marco Jansen, 1 run, pounded in on a back of a length on the stumps, Marco Jansen miscues the loft, it falls on the bounce to long-on ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.5 ," Alzarri Joseph to Marco Jansen, no run, 146.4kph bouncer and Marco Jansen sways away by arching his back ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.4 ," Alzarri Joseph to Shashank Singh, 1 run, back of a length outside off, Shashank Singh gets across and dabs it to short third man for a single ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.3 ," Alzarri Joseph to Shashank Singh, 2 runs, back of a length and angled in, Shashank Singh shuffles across and clips in front of deep mid-wicket, they take a quick two ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.2 ," Alzarri Joseph to Shashank Singh, FOUR, overpitched outside off and Shashank Singh gets forward to loft over extra-cover, beats the sweeper running and diving across to his right. That was bowled at 150.4kph ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.1 ," Alzarri Joseph to Washington Sundar, out Washington Sundar Run Out!! Great work by Alzarri Joseph. This was a back of a length on the hips, Washington Sundar swivels to pull, misses, they attempt to a steal a legbye as the ball goes to the batter's right, Joseph runs forward and nails the stumps at the other end with a direct-hit. Sundar is just short. Washington Sundar run out (Alzarri Joseph) 3(4) ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 18.1 ," Alzarri Joseph to Washington Sundar, wide, slips it down leg, wide called ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.6 ," Yash Dayal to Markram, out Caught by Miller!! The slower ball gets Markram. Slid across Markram and the South African toe-ends the loft towards Miller at long-off who makes no mistake. Another big wicket for GT. Good use of the angle and clever change of pace as well from Yash Dayal. Markram c Miller b Yash Dayal 56(40) [4s-2 6s-3] ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.5 ," Yash Dayal to Washington Sundar, 1 run, very full on the stumps, Washington Sundar digs it out to long-on ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.4 ," Yash Dayal to Markram, 1 run, slower delivery on off, drilled to the right of Pandya at extra-cover who dives to stop ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.3 ," Yash Dayal to Markram, 2 runs, very full on off, driven wide of extra-cover and work for Rashid to do from sweeper, he gets there and keeps it to a couple ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.2 ," Yash Dayal to Washington Sundar, 1 run, high full-toss on the hips, flicked to deep square ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 17.1 ," Yash Dayal to Markram, 1 run, slower delivery on off, Markram waits and squeezes it square of the wicket on the off-side ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 16.6 ," Shami to Markram, 1 run, full on off, Markram gets forward and drives to long-off to keep the strike ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 16.5 ," Shami to Markram, SIX, Rashid Khan was coming in from deep mid-wicket. Had he been right on the edge of the fence, may well have caught it. 50 for Markram though. Short on the stumps, Markram pulls hard and flat, since Rashid was coming in, the ball clears him and goes all the way ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
