ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Cummins to Pollard, SIX, another top-edge and again six over third man! The last over has gone for 23. What a finish for MI.  Full outside off, Pollard throws the bat and the edge flies away to the short boundary - 60-metres ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,6,0,Full
19.5," Cummins to Pollard, SIX, the top-edge flies all the way over third man. Short of a length outside off, Pollard swings so hard and it's a 60-metre hit off the edge. MI cross 155 ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,6,0,Short
19.4," Cummins to Pollard, 2 runs, slower delivery outside off, Pollard swings it wide of square leg, deep mid-wicket with a long chase and he gets there ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,2,0,
19.4," Cummins to Pollard, wide, full and wide outside off, too wide and wide called ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,wide,1,Full
19.3," Cummins to Pollard, SIX, power! Full outside off, right in the slot and Pollard powers it flat over long-on. Muscular hit ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,6,0,Full
19.2," Cummins to Pollard, 2 runs, yorker outside off, jammed out to long-off, Tilak Varma had to come back and reaches in with a full-length dive even as Cummins collects and breaks the stumps, the bat was in the air but Tilak Varma slid it in, before the stumps were broken ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Pollard, Cummins,2,0,yorker
19.1," Cummins to Suryakumar Yadav, out Caught by Billings!! Good review from Billings. He gets umpire Bruce Oxenford's decision overturned. Full outside off, Suryakumar Yadav tries to carve but gets a clear edge through to the keeper. Opened the face to play it square but edged it. Shreyas is delighted once he sees the UltraEdge on the big screen. Suryakumar Yadav c Billings b Cummins 52(36) [4s-5 6s-2] ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Cummins,out,out,Good
18.6," Russell to Tilak Varma, no run, and again. This is DreRuss using his muscle and experience. Short outside off, flies over the top-edge of Tilak Varma who pulls and misses ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma, Russell,0,0,Short
18.5," Russell to Tilak Varma, no run, fine comeback from Russell. Digs it in short on the stumps, follows Tilak Varma who crouches to ramp and misses. Too fast for him ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma, Russell,0,0,Short
18.4,"Russell to Tilak Varma, FOUR, powerful hit. Off-pace length ball outside off, Tilak Varma reaches out and powers it over mid-off. Tilak Varma had moved away and did well to reach out to get so much bat on that",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma,Russell,4,0,Good
