ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6," Washington Sundar to Russell, SIX, 100ks full toss, Russell says thank you and deposits another mighty maximum over mid-wicket. 20 runs off the final over ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
19.5," Washington Sundar to Russell, SIX, another low full toss at quick pace, Russell sinks to one knee and tonks it deep into the mid-wicket stands... ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
19.4," Washington Sundar to Russell, no run, gets the yorker length outside off, Russell looks to swing hard and ends up jamming it off the toe end towards long-off ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
19.3," Washington Sundar to Russell, SIX, friendly full toss at the body and Russell;s nailed that for a 87-metre maximum over mid-wicket. Easy as you like! ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
19.2," Washington Sundar to Narine, 1 run, makes room and punches the quicker delivery to the right of long-off ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
19.1," Washington Sundar to Russell, 1 run, goes full and straight, Russell biffs it off the bottom hand and can only manage a single to the left of long-on ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.6," Bhuvneshwar to Narine, no run, full and wide of off at 137ks, Narine swings and misses. Excellent over from Bhuvi. Just 6 runs ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.5," Bhuvneshwar to Billings, out Caught by Williamson!! The slower ball does the trick. Leg cutter bowled short wide of off, Billings reaches out and chips it off the toe end straight to extra cover. Catching practice for the SRH skipper. Might have been a wide had Billings left that alone, but Billings was desperate to get bat on ball and ended up mistiming it completely. Billings c Williamson b Bhuvneshwar 34(29) [4s-3 6s-1] ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.4," Bhuvneshwar to Russell, 1 run, low, dipping full toss around leg stump, Russell slogs and gets it off the toe-end to the right of mid-wicket ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.4," Bhuvneshwar to Russell, wide, another slower ball and another wide outside off stump. Russell tries to smash it over extra cover but no dice ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
