ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
19.6," Holder to Pant, 1 run, full on the stumps, clipped to deep mid-wicket for a single and just the 7 off the last over. Excellent from LSG and Holder ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Holder,1,0,Full,stump line,mid-wicket,,,,202215
19.5," Holder to Sarfaraz Khan, 1 run, another slower delivery into the pitch, Sarfaraz Khan swings and gets a top-edge onto the side of the helmet, rolls away to short third man. Sarfaraz reaches the other end and removes his helmet to have a look. The physio is waiting but since there's only one ball left, they are playing on and Sarfaraz is fine anyway ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Sarfaraz Khan, Holder,1,0,Short,,short third man,edge,,,202215
19.5," Holder to Sarfaraz Khan, wide, Holder tries the short ball and gives away a wide, down leg and Holder is not happy. Was over the head as Sarfaraz Khan pulls and misses ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Sarfaraz Khan, Holder,wide,1,Short,wide,,wide,,,202215
19.4," Holder to Pant, 1 run, fourth single in a row. Yorker length outside off, Pant squeezes it wide of de Kock ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Holder,1,0,yorker,off side,,,,,202215
19.3," Holder to Sarfaraz Khan, 1 run, full on middle, dragged to deep mid-wicket ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Sarfaraz Khan, Holder,1,0,Full,stump line,mid-wicket,,,,202215
19.2," Holder to Pant, 1 run, low full-toss on off, heaved on the bounce to deep mid-wicket, another single ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Holder,1,0,Full toss,off side,mid-wicket,,,,202215
19.1," Holder to Sarfaraz Khan, 1 run, slower delivery on a fuller length on off, wristily whipped wide of deep square, Pant wants the strike and they take just a single ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Sarfaraz Khan, Holder,1,0,Full,off side,deep square,,,,202215
18.6," Avesh Khan to Pant, no run, third dot in a row and Avesh Khan ends in style. Yorker length outside off, Pant squeezes it back to Avesh Khan who fires at the stumps. Interesting if there was a direct-hit ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Avesh Khan,0,0,yorker,off side,,,,,202215
18.5," Avesh Khan to Pant, no run, full and just outside off, Pant tries the helicopter-whip but misses ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Avesh Khan,0,0,Full,off side,,beaten,,,202215
18.4," Avesh Khan to Pant, no run, good comeback. Full and angled across Pant who is on his knee as he tries to loft but misses ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Avesh Khan,0,0,Good,,,beaten,,,202215
18.3," Avesh Khan to Pant, FOUR, there's the Pant-helicopter shot! Jerks his body back in an exaggerated fashion after whipping the full-toss wide of deep mid-wicket. Avesh Khan missed his length and Pant pounced ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Pant, Avesh Khan,4,0,Full toss,wide,mid-wicket,beaten,,,202215
18.2," Avesh Khan to Sarfaraz Khan, 1 run, low full-toss outside off, Sarfaraz Khan drives but mistimes it off the thick inside half to long-on ",1st Inns,15th,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Evin Lewis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Andrew Tye, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 07,2022",Lucknow Super Giants have won the toss and have opted to field,Lucknow Super Giants won by 6 wkts,Quinton de Kock,LSG,field,DC,LSG,Sarfaraz Khan, Avesh Khan,1,0,Full toss,off side,long-on,on drive,,,202215
