ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6,"Holder to Rahul Tewatia, leg byes, 1 run, wickets is umpire's call and clipping so the original call will stay. Full on the stumps, pitched in line and beats Rahul Tewatia's sweep but the impact is on off and it is angling across, umpire KN Anantha Padmanabhan does not give it and GT end on 144",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.5," Holder to Rahul Tewatia, FOUR, superb batting this from Rahul Tewatia. Gets outside off and waits for the slower delivery, when it comes he swings it to the deep backward square fence ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.5," Holder to Rahul Tewatia, wide, this one is wide, similar ball to the last one, but this is wide of the line ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.4," Holder to Rahul Tewatia, no run, not called a wide as the leg-cutter is angled across Rahul Tewatia, just inside the line, the batter lets it go and the umpire gets it right ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.3," Holder to Rahul Tewatia, FOUR, whacked. Rahul Tewatia knows the cutter on a length is coming, stays just outside off and belts this over the vacant mid-off, there's a very straight extra-cover inside the ring but he had no chance ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.3," Holder to Rahul Tewatia, wide, wide called as Holder digs the short ball in too short outside off, Rahul Tewatia slashes and misses ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.2," Holder to Rahul Tewatia, FOUR, deep point who is Badoni can't get there despite sprinting and diving. Off-cutter outside off, Rahul Tewatia slashes and gets four ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
19.1," Holder to Shubman Gill, 1 run, slower delivery outside off, Shubman Gill mistimes the drive through cover for a single ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
18.6,"Avesh Khan to Rahul Tewatia, no run, Hooda at backward point calls for it and makes a meal of the top-edge. Does not even get a finertip on it in the end. Full on off, Rahul Tewatia swings and edges it high, Hooda was confident when he put his hand out to Chameera that it was his catch, but the ball falls beyond his stretched hands. Should've been taken",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
18.5," Avesh Khan to Rahul Tewatia, no run, now goes across his stumps, exposing it, this is fullish on the stumps, Rahul Tewatia sweeps and gets hit somewhere around the helmet area. The physio comes out but Tewatia is fine and we are ready to go again. Replays show that he edged it onto the grille ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
18.4," Avesh Khan to Rahul Tewatia, no run, Rahul Tewatia swings too early and misses the pull, another off-pace ball, he is hit on the arm outside off ",GT Inns,57t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Karan Sharma, Dushmantha Chameera, Avesh Khan, Mohsin Khan","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Matthew Wade, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Ravisrinivasan Sai Kishore, Alzarri Joseph, Yash Dayal, Mohammed Shami",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 10,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 62 runs,Shubman Gill,GT,bat
