ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Ramandeep Singh to Axar, leg byes, 1 run, to the naked eye it looked like going down and it's umpire's call on clipping. In-angler on a back of a length and Axar misses the pull, hit on the back thigh and  MI took the review ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Axar, Ramandeep Singh,byes,1,Back of Length,
19.5," Ramandeep Singh to Axar, SIX, smashed flat over long-on. The off-cutter outside off, powered off the back foot. Axar stays and puts it away ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Axar, Ramandeep Singh,6,0,,off side
19.4," Ramandeep Singh to Kuldeep Yadav, 1 run, short at Kuldeep Yadav who gloves the pull near the vacant square leg region, gives the strike to Axar ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Kuldeep Yadav, Ramandeep Singh,1,0,Short,
19.3," Ramandeep Singh to Thakur, out Caught by Tim David!! Ramandeep Singh somehow keeps taking wickets. Wide length ball, Thakur hits it well but David at long-on takes a calm catch over his head, he is a tall man and made it look simple. Replays show that it hit the bottom of Thakur's bat, yet almost went all the way. Thakur c Tim David b Ramandeep Singh 4(5) ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Thakur, Ramandeep Singh,out,out,Good,wide
19.3," Ramandeep Singh to Thakur, wide, wide as the full-toss goes past the line on the off-side ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Thakur, Ramandeep Singh,wide,1,Full toss,wide
19.2," Ramandeep Singh to Thakur, no run, length ball outside off, maybe off-pace, Thakur swings and misses. Precious dot ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Thakur, Ramandeep Singh,0,0,Good,off side
19.1," Ramandeep Singh to Thakur, 2 runs, length delivery outside off, from round the wicket, heaved wide of deep mid-wicket and they come back for two ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Thakur, Ramandeep Singh,2,0,Good,off side
18.6," Bumrah to Axar, 2 runs, low full-toss on off, driven wide of extra-cover and they come back for two. World-class from Bumrah - 6 and the wicket of Powell ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Axar, Bumrah,2,0,Full toss,off side
18.5," Bumrah to Thakur, 1 run, very full just outside off, Thakur gets a thick inside-edge on the big shot, takes a single to backward square ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Thakur, Bumrah,1,0,Full,off side
18.4," Bumrah to Axar, 1 run, very full on off, driven past Bumrah's legs ",1st Inns,69t,Mumbai Indians,Delhi Capitals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Tilak Varma, Tim David, Ramandeep Singh, Daniel Sams, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith, Mayank Markande","Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Sarfaraz Khan, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Wankhede Stadium,Mumbai","May 21,2022",Out come the players. MI in a huddle and Prithvi is out partnering with Warner. DC have their main openers back. Bit of a long chat in that MI huddle. They do want to end on a high and they have won the toss too.,Mumbai Indians won by 5 wkts,Jasprit Bumrah,MI,field,DC,MI,Axar, Bumrah,1,0,Full,off side
