ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Bumrah to Washington Sundar, out Bowled!! He wasn't getting wickets with his yorkers, slowers balls. But gets one with a straight full toss at 145kph. He smiles. 250th wicket in T20s for him. Washi set base deep in the crease for a mighty hit, but totally missed the ball. Washington Sundar b Bumrah 9(7) ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Bumrah,out,out,yorker,,straight
19.5," Bumrah to Washington Sundar, 2 runs, slower delivery dipping on him, Washi manages to drag it to deep mid-wicket despite playing a tad early ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Bumrah,2,0,,,mid-wicket
19.4," Bumrah to Washington Sundar, no run, low full toss, driven back at the bowler. Ball hits his boot in the followthrough and it's a dot ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Bumrah,0,0,Full,,
19.3," Bumrah to Williamson, 1 run, low full toss, bit of an outside edge, races across but backward point dives and stops the ball. Just a run when it looked like four ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Williamson, Bumrah,1,0,Full,,backward point
19.2," Bumrah to Williamson, FOUR, lofted drive over point. Slower delivery wide of off stump but Kane waited and delayed the drive to time it nicely. Stubbs flies to his left at deep point but loses the race. Bumrah applauds the effort ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Williamson, Bumrah,4,0,,wide,point
19.1," Bumrah to Williamson, no run, dipping slower delivery and Williamson was through with his shot even before the ball arrived. Unfortunately for Bumrah this wasn't on target for a wicket ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Williamson, Bumrah,0,0,,,
18.6," Meredith to Washington Sundar, no run, tries to smash this on one knee literally but gets an inside edge onto pad ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Meredith,0,0,,,
18.5," Meredith to Washington Sundar, 2 runs, very full delivery outside off stump, Washington swings it away towards deep cover ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Meredith,2,0,Full,off side,deep cover
18.5," Meredith to Washington Sundar, wide, oh beaten. Called a wide. Harsh? Slower delivery short, Washi tried to dab and missed ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Meredith,wide,1,Short,wide,
18.4," Meredith to Washington Sundar, 2 runs, all of a sudden MI are making very good saves on the outfield. That's what a good over can do to a team. Washi played a very good cut shot to this slower delivery but cut off by Sanjay Yadav in the deep ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Washington Sundar, Meredith,2,0,Good,,
18.3," Meredith to Williamson, 1 run, yorker on the off stump, Williamson digs it out to backward point ",1st Inns,65t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Daniel Sams, Tilak Varma, Ramandeep Singh, Tristan Stubbs, Tim David, Sanjay Yadav, Jasprit Bumrah, Riley Meredith, Mayank Markande","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Washington Sundar, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","May 17,2022",Mumbai Indians have won the toss and have opted to field,Sunrisers Hyderabad won by 3 runs,Rahul Tripathi,MI,field,SRH,MI,Williamson, Meredith,1,0,yorker,off side,backward point
