ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6,"Arshdeep Singh to Axar, 2 runs, another proper yorker. Patel jams it through square leg, and is helped by a wild throw to come back and steal a second ..",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Axar,Arshdeep Singh,2,0,yorker,,square leg,,,
19.5,"Arshdeep Singh to Kuldeep Yadav, leg byes, 1 run, a slower change-up, into the pitch. Kuldeep swipes, misses, and the ball rolls off his body into the leg-side as Axar calls through for a quick one, and slides in, in time",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Kuldeep Yadav,Arshdeep Singh,byes,1,,,,beaten,,
19.4," Arshdeep Singh to Kuldeep Yadav, 2 runs, neatly sliced past cover. And quite surprisingly, Axar's happy to keep let Kuldeep batting ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Kuldeep Yadav, Arshdeep Singh,2,0,,,cover,,,
19.3," Arshdeep Singh to Thakur, out Caught by Harpreet Brar!! Another low full toss, angling in from wide of the round the wicket crease. Thakur stands his ground, clears out his front leg, looking to pump it downtown. Again, another batsman falls to a toe-ended miscue, holing out at long-on. Thakur c Harpreet Brar b Arshdeep Singh 3(4) ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Thakur, Arshdeep Singh,out,out,Full,wide,long-on,,,"Catch out , harpreet brar"
19.2," Arshdeep Singh to Axar, 1 run, tries another yorker, but ends with a low dipping full toss. Swiped to long-on ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Axar, Arshdeep Singh,1,0,yorker,,long-on,,,
19.1," Arshdeep Singh to Thakur, 1 run, the perfect yorker, and Thakur can only dig it onto his own foot ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Thakur, Arshdeep Singh,1,0,yorker,,,,,
18.6," Rabada to Thakur, 1 run, short, outside off, and Thakur gets the toe-end on his pull, which lobs straight back down the ground ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Thakur, Rabada,1,0,Short,off side,straight,pull shot,,
18.5," Rabada to Axar, 1 run, back of a length, jagging in, nudged round the corner ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Axar, Rabada,1,0,Back of Length,,,,,
18.4," Rabada to Axar, no run, quite a clear sound as Patel looks to glance, but Punjab decide to review a possible strangle down leg. It's clearly off the thigh pad ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Axar, Rabada,0,0,,,,glance,,
18.3," Rabada to Thakur, 1 run, pretty full, outside off, slapped to long-off ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Mayank Agarwal(c), Jitesh Sharma(w), Harpreet Brar, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner, Sarfaraz Khan, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Khaleel Ahmed",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 16,2022",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 17 runs,Shardul Thakur,PBKS,field,DC,PBKS,Thakur, Rabada,1,0,Full,off side,long-off,,,
