ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Arshdeep Singh to Mohsin Khan, FOUR, Mohsin Khan ends well. This was a low full-toss tailing back in, Mohsin Khan drills it wide of extra-cover and it races away. LSG end on 153 ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Mohsin Khan, Arshdeep Singh,4,0,Full toss,wide
19.5," Arshdeep Singh to Mohsin Khan, 1 run, full and tailing back in on the stumps, driven straight down the ground and they take two. But one short as one of the batters does not cross the line while completing the first run ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Mohsin Khan, Arshdeep Singh,1,0,Full,stump line
19.4," Arshdeep Singh to Avesh Khan, 1 run, full outside off, driven to mid-off ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Avesh Khan, Arshdeep Singh,1,0,Full,off side
19.3," Arshdeep Singh to Mohsin Khan, 1 run, low full-toss on off, driven to long-off ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Mohsin Khan, Arshdeep Singh,1,0,Full toss,off side
19.2," Arshdeep Singh to Avesh Khan, 1 run, fine yorker, Avesh Khan digs it out and had Arshdeep Singh's kick found the stumps, Mohsin Khan was out ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Avesh Khan, Arshdeep Singh,1,0,yorker,
19.1," Arshdeep Singh to Mohsin Khan, 1 run, very full on the stumps, Mohsin Khan drills it wide of cover, takes the single ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Mohsin Khan, Arshdeep Singh,1,0,Full,stump line
18.6," Rabada to Avesh Khan, no run, Rabada ends well. Full outside off, hint of away movement, Avesh Khan is nowhere near the line as he swings and misses ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Avesh Khan, Rabada,0,0,Full,off side
18.5," Rabada to Avesh Khan, no run, short outside off, Avesh Khan swings and misses ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Avesh Khan, Rabada,0,0,Short,off side
18.4," Rabada to Avesh Khan, no run, back of a length outside off, Avesh Khan pokes and misses ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Avesh Khan, Rabada,0,0,Back of Length,off side
18.3," Rabada to Chameera, out Caught by Rahul Chahar!! The cross-seamer gets Chameera. Full on off, lofted off the bottom of the bat and Rahul Chahar comes in from sweeper to take the catch. Did not look confident under the high ball but somehow hung on. Chameera c Rahul Chahar b Rabada 17(10) [6s-2] ",1st Inns,42n,Punjab Kings,Lucknow Super Giants,"Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Sandeep Sharma, Arshdeep Singh","Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Marcus Stoinis, Ayush Badoni, Krunal Pandya, Jason Holder, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan, Mohsin Khan",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2022",Punjab Kings have won the toss and have opted to field,Lucknow Super Giants won by 20 runs,Krunal Pandya,PBKS,field,LSG,PBKS,Chameera, Rabada,out,out,Full,off side
