ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Kuldeep Sen to Rishi Dhawan, 1 run, 16 off the over. PBKS end on 189. Full-toss outside off, Rishi Dhawan mistimes it wide of Buttler at mid-off, he wants a no-ball for height, but nothing given. That's the end of the innings ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Rishi Dhawan, Kuldeep Sen,1,0,Full toss,off side,mid-off,,,
19.5," Kuldeep Sen to Jitesh Sharma, 1 run, length ball on the stumps, was in the slot, Jitesh Sharma heaves and finds deep backward square, Jitesh Sharma is not happy that he did not get it out of the ground ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Jitesh Sharma, Kuldeep Sen,1,0,Good,stump line,deep backward square,,,
19.4," Kuldeep Sen to Jitesh Sharma, FOUR, Jitesh Sharma is on fire. Over extra-cover. Kuldeep Sen misses the yorker, full on off, Jitesh Sharma stays deep and carves it over the fielder inside the ring. Big gap at deep cover ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Jitesh Sharma, Kuldeep Sen,4,0,yorker,off side,cover,beaten,,
19.3," Kuldeep Sen to Jitesh Sharma, FOUR, length ball on off, Jitesh Sharma swings and slices across the ball, the ball clears the backpedalling Buttler at mid-off, this time he can't go for the acrobatic effort ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Jitesh Sharma, Kuldeep Sen,4,0,Good,off side,mid-off,,,
19.2," Kuldeep Sen to Jitesh Sharma, SIX, what wrists from Jitesh Sharma. Low full-toss on the pads, Jitesh Sharma whips that and it's off a thick leading-edge of sorts, flies miles over mid-wicket ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Jitesh Sharma, Kuldeep Sen,6,0,Full toss,stump line,mid-wicket,edge,,
19.1," Kuldeep Sen to Jitesh Sharma, no run, had Kuldeep Sen hit at Rishi Dhawan's end, Dhawan was gone. Fine yorker tailing in at the toes of Jitesh Sharma who misses the flick, sliding down and Dhawan wanted a quick single but sent back ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Jitesh Sharma, Kuldeep Sen,0,0,yorker,,,beaten,,
18.6," Prasidh to Rishi Dhawan, FOUR, poor ball follows a good one. Full-toss outside off from round the wicket, Rishi Dhawan swings it into the big gap at deep mid-wicket. Easy four ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Rishi Dhawan, Prasidh,4,0,Good,off side,mid-wicket,,,
18.5," Prasidh to Livingstone, out Bowled!! Perfect yorker and Prasidh hits off. Came round the wicket and Livingstone was standing outside off exposing his stumps, Prasidh nails the yorker and hits the base of off, Livingstone couldn't get bat on the flick. That was a very good ball. Livingstone b Prasidh 22(14) [4s-1 6s-2] ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Livingstone, Prasidh,out,out,yorker,off side,,flick shot,,bowled
18.4," Prasidh to Livingstone, FOUR,the 50-run stand is up. Great shot that. Prasidh came over the wicket and bowled it well outside off, Livingstone though moved too and lapped it over backward square's head. Was on a short of length and so tough to generate the elevation but Livingstone pulled it off ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Livingstone, Prasidh,4,0,Short,off side,square,pull shot,,
18.3," Prasidh to Livingstone, no run, good ball. On a yorker length outside off, Livingstone fails to dig it out ",1st Inns,52nd,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Mayank Agarwal(c), Bhanuka Rajapaksa, Liam Livingstone, Jitesh Sharma(w), Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Riyan Parag, Shimron Hetmyer, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 07,2022",Punjab Kings have won the toss and have opted to bat,Rajasthan Royals won by 6 wkts,Yashasvi Jaiswal,PBKS,bat,PBKS,RR,Livingstone, Prasidh,0,0,Good,off side,,,,
