ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
16.1," Bhuvneshwar to Siraj, out Caught by Williamson!! Straight up and Williamson running back from the off-side ring catches it and then tumbles over. Length ball on the stumps, Siraj makes room and lofts off the toe-end, Williamson kept his eyes on it till the end and takes a very good catch. RCB have been shot out for 68. Siraj c Williamson b Bhuvneshwar 2(4) ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.6," T Natarajan to Siraj, 1 run, T Natarajan from round the wicket angles one in at the body of Siraj who guides it wide of point for a single ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.5," T Natarajan to Hazlewood, 1 run, short on the stumps, Hazlewood makes room and cuts to deep point ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.4," T Natarajan to Siraj, 1 run, length ball on the stumps, Siraj swings across the line and mishits it wide of mid-off ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.3," T Natarajan to Siraj, no run, stump to stump line on the stumps, Siraj defends to cover ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.2," T Natarajan to Hasaranga, out Bowled!! That is poor from Hasaranga. But he had no option. Length ball on off, Hasaranga swipes across the line and loses his off-stump. Rushed through the shot and beat him. Again T Natarajan knocks the off-stump over. Hasaranga b T Natarajan 8(19) [4s-1] ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
15.1," T Natarajan to Hasaranga, no run, good length and straight on middle, Hasaranga pushes off the outer half of the bat to cover ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.6," Marco Jansen to Hasaranga, 1 run, another slower delivery on the stumps, Hasaranga defends to cover, is sent back and beats the direct-hit. Ricochets away and then they take the single ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.5," Marco Jansen to Hasaranga, no run, change of pace and angled across Hasaranga who cuts and misses, bounces in front of Pooran ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.4," Marco Jansen to Hasaranga, FOUR, respite for RCB. A boundary. Marco Jansen overpitches just outside off, Hasaranga gets forward and drives wide of cover, races away ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.3," Marco Jansen to Hasaranga, no run, dug in short on the stumps, Hasaranga arches his back and lets it go ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.2," Marco Jansen to Hazlewood, 1 run, good length just outside off, Hazlewood defends wide of point for a single ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
14.1," Marco Jansen to Hasaranga, 1 run, short of length outside off, Hasaranga punches square of the wicket on the off-side but just a single ",1st Inns,36t,Royal Challengers Bangalore,Sunrisers Hyderabad,"Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Suyash Prabhudessai, Shahbaz Ahmed, Dinesh Karthik(w), Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 23,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Marco Jansen,SRH,field,RCB,SRH
