ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," T Natarajan to Conway, 1 run, low full-toss from Natarajan, driven down towards long-on for a single. CSK finish with 202 ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Conway, T Natarajan,1,0,Full toss
19.5," T Natarajan to Conway, FOUR, that's a gift and Conway takes it with glee, full and sliding down leg, Conway gets inside the line and flicks it fine, off the inner half and runs away past the keeper, brings up CSK's 200 ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Conway, T Natarajan,4,0,Full
19.4," T Natarajan to Conway, FOUR, drilled, wide full-toss from Natarajan - Conway gets under it and gets the elevation on the drive, just high and wide of cover and runs away to the ropes ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Conway, T Natarajan,4,0,Full toss
19.3," T Natarajan to Jadeja, 1 run, yorker length delivery on off, Jadeja gets under it and scoops it down towards long-off, bounces short of the fielder ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Jadeja, T Natarajan,1,0,yorker
19.2," T Natarajan to Dhoni, out Caught by Umran Malik!! Catching practice at short fine, another soft dismissal and it's MS this time around - a leg-stump half-volley, he whips and he whips it straight into the hands of Umran, either side and it would have been a boundary, but SRH are pulling things back in the last quarter of the innings. Dhoni c Umran Malik b T Natarajan 8(7) [4s-1] ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Dhoni, T Natarajan,out,out,Short
19.1," T Natarajan to Conway, 1 run, fuller length delivery on middle, punched down towards long-on for a single ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Conway, T Natarajan,1,0,Full
18.6," Umran Malik to Dhoni, FOUR, that has been flayed through cover - back of a length and well wide of off, Dhoni rides the bounce and then thrashes the drive past KW, runs away across the fast outfield, still only 8 from the over ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Dhoni, Umran Malik,4,0,Back of Length
18.5," Umran Malik to Dhoni, no run, short of a good length and just outside off - at 145 kmph, Dhoni finds mid-wicket with the pull ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Dhoni, Umran Malik,0,0,Short
18.4," Umran Malik to Conway, 1 run, Umran comes from round the wicket, and angles one onto Conway's pads, at 152.5 kmph, flicked behind square on the on-side for a single ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Conway, Umran Malik,1,0,
18.3," Umran Malik to Dhoni, 1 run, this is good bowling from Umran - at 154 kmph, the second time he has hit the mark tonight, very full and around off, squeezed down towards mid-off for a single ",1st Inns,46t,Sunrisers Hyderabad,Chennai Super Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Devon Conway, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Dwaine Pretorius, Simarjeet Singh, Mukesh Choudhary, Maheesh Theekshana",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 01,2022",Sunrisers Hyderabad have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Ruturaj Gaikwad,SRH,field,CSK,SRH,Dhoni, Umran Malik,1,0,Good
