ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
19.6," T Natarajan to Rashid Khan, out Bowled!! Knocked him over! A duck for Rashid Khan as T Natarajan fires a yorker on leg and the batter exposes the stumps by moving across. Misses it altogether and the stumps have been rattled. Concedes only 7 runs in the final over does Natarajan. Rashid Khan b T Natarajan 0(1) ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
19.5,"T Natarajan to Hardik Pandya, 1 run, fifty for Hardik Pandya! A yorker length delivery around middle and leg, Hardik Pandya can't get underneath as he squeezes the ball next to the pitch. Quite a responsible knock by the captain as he has taken Gujarat Titans to a respectable total",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
19.4,"T Natarajan to Rahul Tewatia, out Rahul Tewatia Run Out!! In their quest to sneak in with a bye, Gujarat Titans have lost a wicket. Was a short and quick ball by Natarajan as Tewatia got beaten on his hook. Pandya calls for a bye and Pooran has a shy at the stumps at his ends. Doesn't hit, but the bowler collects the ball and has an underarm throw to run Tewatia out. Rahul Tewatia run out (Pooran/T Natarajan) 6(4) [4s-1]",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
19.3," T Natarajan to Rahul Tewatia, FOUR, juicy full toss by Natarajan as he misses out on the yorker, Rahul Tewatia goes down on his knee and slogsweeps this to the deep mid-wicket boundary ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
19.2," T Natarajan to Hardik Pandya, 1 run, goes down on his knee and laps this to short fine leg for a single ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
19.1," T Natarajan to Rahul Tewatia, 1 run, Rahul Tewatia backs away to make room, but T Natarajan does well to follow him with a yorker on leg, squeezed to point for a single ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
18.6," Bhuvneshwar to Rahul Tewatia, 1 run, width on offer outside off, Rahul Tewatia throws his hands at this widish delivery and slaps it uppishly to sweeper cover ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
18.5," Bhuvneshwar to Abhinav Manohar, out Caught by Tripathi!! And finally a catch has been taken! Abhinav Manohar goes for another flat batted slap against this short ball and gets a top-edge straight down the ground. Tripathi from long-off sprints across, keeps his eyes on the ball and takes an impressive catch. Dropped a sitter earlier in the over, but takes a difficult chance this time around. In fact, he even took a blinder to get rid of Gill at the start of the match. Abhinav Manohar c Tripathi b Bhuvneshwar 35(21) [4s-5 6s-1] ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
18.4," Bhuvneshwar to Abhinav Manohar, 2 runs, 50-run stand up and Abhinav Manohar gets another life! Bhuvneshwar calls for it as he runs towards square leg to take this. But he doesn't even get a hand to it. Was a shortish delivery as Abhinav Manohar swung across the line and got a top-edge towards square leg. Plenty of fielders converging to take the catch, and Bhuvi goes for it, but doesn't even get a hand to it ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
18.3," Bhuvneshwar to Hardik Pandya, 1 run, low full toss around middle and leg, Hardik Pandya flicks it through mid-wicket for a single ",GT Inns,21s,Sunrisers Hyderabad,Gujarat Titans,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Washington Sundar, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Gujarat Titans (Playing XI): Matthew Wade(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan, Lockie Ferguson, Mohammed Shami, Darshan Nalkande",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 11,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Kane Williamson,SRH,field
