ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6,"Nathan Ellis to Umran Malik, byes, 1 run, the free-hit sees Umran Malik swing and lose his off-stump, he does not run thinking that's it but Shepherd calls him out and they take a run even as Nathan Ellis fails to run Malik out, fumbled the throw and by the time he got it back to the stumps, Malik was in. Quite a dramatic end to the innings",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Umran Malik,Nathan Ellis,byes,1,
19.6," Nathan Ellis to Shepherd, no ball, out Bhuvneshwar Run Out!! Its a no-ball but there's a run-out. Very full and beats Shepherd's swing outside off, they run a bye thinking it is the last ball of the innings, Jitesh Sharma hits direct and catches Bhuvneshwar short. Bhuvneshwar run out (Jitesh Sharma) 1(1) ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Nathan Ellis,no ball,1,Full
19.5," Nathan Ellis to Bhuvneshwar, 1 run, Bhuvneshwar prevents the hat-trick. Fires the yorker on off and middle, clipped away ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Bhuvneshwar, Nathan Ellis,1,0,yorker
19.4," Nathan Ellis to J Suchith, out Caught by Prerak Mankad!! Nathan Ellis is on a hat-trick. This is turning out to be a brilliant final over. Full on off, just chipped straight up and caught near long-off. Was the seam-up full ball. J Suchith c Prerak Mankad b Nathan Ellis 0(1) ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,J Suchith, Nathan Ellis,out,out,Full
19.3," Nathan Ellis to Washington Sundar, out Caught by Dhawan!! Another thigh-five from Dhawan. After catching Washington Sundar. Sundar tries to glide the slower off-cutter into the pitch, over short third man but finds Dhawan. The slowness of the ball meant he did not have the pace to work with. Washington Sundar c Dhawan b Nathan Ellis 25(19) [4s-3 6s-1] ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Nathan Ellis,out,out,Short
19.2," Nathan Ellis to Shepherd, 1 run, full on the stumps, heaved to deep mid-wicket. Not much timing behind that one ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Nathan Ellis,1,0,Full
19.1," Nathan Ellis to Shepherd, SIX, power from Shepherd. This is a full-toss just outside off and look at that blast straight down the ground. Shepherd stays still and smacks it over the ropes ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Nathan Ellis,6,0,Full toss
18.6," Arshdeep Singh to Washington Sundar, FOUR, the 50-run stand comes up with a beautiful lofted shot. Full-toss on off, Washington Sundar leans back and lofts over extra-cover - SRH going big in these last overs ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Arshdeep Singh,4,0,Full toss
18.5," Arshdeep Singh to Shepherd, 1 run, low full-toss on off, hit hard and bounces in front of SRK at mid-off, hit on the knee and that must have hurt him, he is running off. The ball bounced and spun into his left leg, right on the knee. Ouch! ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Arshdeep Singh,1,0,Full toss
18.4," Arshdeep Singh to Shepherd, FOUR, drilled for four. Arshdeep Singh misses the yorker, overpitched on the stumps, smashed straight by Shepherd ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Arshdeep Singh,4,0,yorker
