ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Pathirana to Rashid Khan, out Caught by Gaikwad!! Pathirana finishes strong but a big total on the board for GT! Fuller in length, Rashid Khan hits it down the ground towards long-on but the timing is not good. Ruturaj moves to his right and catches it. Rashid Khan c Gaikwad b Pathirana 0(2) ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Rashid Khan, Pathirana,out,out,Full,undefined,long-on,,,"Catch out , gaikwad"
19.5," Pathirana to Hardik Pandya, leg byes, 1 run, tailing in from a fuller length outside off, Hardik Pandya swings at it and gets an inside edge that rolls off the pads to the off-side. A run taken, signaled as a leg bye ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Hardik Pandya, Pathirana,byes,1,Full,off side,off-side,edge,,
19.4," Pathirana to Rashid Khan, byes, 1 run, slower in pace and on a length outside off, Rashid Khan swings at it and misses but they sneak in a run ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Rashid Khan, Pathirana,byes,1,Good,off side,,beaten,,
19.3,"Pathirana to Sai Sudharsan, out Lbw!! End of an outstanding knock from Sai Sudharsan! He has showed his class and range tonight. Deserved a ton though. Very full ball, tailing in from outside off, Sai Sudharsan tries to play it across but misses to be pinged on the pads. Up goes the umpire's finger. The review doesn't work but Sai Sudharsan has scored the highest score for an uncapped player in an IPL final! Sai Sudharsan lbw b Pathirana 96(47) [4s-8 6s-6]",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Sai Sudharsan,Pathirana,out,out,Full,off side,,beaten,,LBW
19.2," Pathirana to Sai Sudharsan, SIX, change of angle from Pathirana but the result is the same! Slot ball on off, Sai Sudharsan smokes it downtown for another six. He is on 96 now ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Sai Sudharsan, Pathirana,6,0,Slot,off side,,,,
19.1," Pathirana to Sai Sudharsan, SIX, that's the shot of the match so far, quips Ravi Shastri on air! Audacious strike from the young man. He walks down the track and converts it into a half-volley. Opens the bat face to loft it over deep extra cover to find the fence ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Sai Sudharsan, Pathirana,6,0,undefined,undefined,deep extra cover,,,
18.6," Tushar Deshpande to Hardik Pandya, SIX, going, going, gone! Tushar Deshpande had become predictable with his outside off stump channel. Hardik Pandya shuffles a bit and tonks the full toss down the ground. Not off the meat of the bat which keeps long-on interested but it sails over him ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Hardik Pandya, Tushar Deshpande,6,0,Full,off side,long-on,,,
18.5," Tushar Deshpande to Sai Sudharsan, 1 run, an off-pace ball around 122 clicks, Sai Sudharsan loses shape and mistimes his pull to deep mid-wicket ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Sai Sudharsan, Tushar Deshpande,1,0,undefined,undefined,mid-wicket,pull shot,,
18.4," Tushar Deshpande to Sai Sudharsan, FOUR, Tushar Deshpande switches to over the wicket to Sai Sudharsan but it is slot ball. The form Sai Sudharsan is in he is not going to miss out. Hammers it down the ground and beats long-on with ease ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Sai Sudharsan, Tushar Deshpande,4,0,Slot,undefined,long-on,beaten,,
18.3," Tushar Deshpande to Hardik Pandya, 1 run, 140kph ball in the blockhole outside off, Hardik Pandya can only squeeze it out to deep backward point ",1st Inns,final,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), Vijay Shankar, David Miller, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami","Chennai Super Kings Subs: Shivam Dube, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh.","Gujarat Titans Subs: Joshua Little, Srikar Bharat, Shivam Mavi, Odean Smith, Ravisrinivasan Sai Kishore.",IPL,2023,"Narendra Modi Stadium,Ahmedabad","May 29,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts (DLS method),Devon Conway,CSK,field,GT,CSK,Hardik Pandya, Tushar Deshpande,1,0,undefined,off side,deep backward point,defend,140.0,
