ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6,"Tushar Deshpande to Zampa, out Zampa Run Out!! 1 run completed. Dropped but run-out too. Zampa shuffles across and scoops the slower ball to Theekshana at short fine-leg, a sitter is dropped but the batters try to steal a second, the throw to Dhoni is enough who flicks it on to the stumps catching Zampa well short. Zampa run out (Theekshana/Dhoni) 1(1)",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Zampa,Tushar Deshpande,out,out,Short,undefined,short fine
19.5," Tushar Deshpande to Holder, out Caught by Conway!! Holder goes. A slower ball off-cutter outside off, Holder swings and miscues the heave, straight to the fielder at deep mid-wicket. Conway hangs on reverse-cup. Holder c Conway b Tushar Deshpande 0(1) ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Holder, Tushar Deshpande,out,out,undefined,off side,straight
19.4," Tushar Deshpande to Hetmyer, 1 run, slower ball off-cutter outside off again, Hetmyer finds extra-cover with a drive ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Tushar Deshpande,1,0,undefined,off side,cover
19.3," Tushar Deshpande to Hetmyer, no run, again RR review. This time for a wide outside off. Don't think they will get this either. Poor review as it's well inside the line on the off-side, a slower ball off-cutter outside off, Hetmyer slogs and misses ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Tushar Deshpande,0,0,undefined,wide,off-side
19.2," Tushar Deshpande to Hetmyer, 2 runs, slower ball on a length outside off, Hetmyer swings it to long-on and as soon as Hetmyer hit that, he called for two, make it easily ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Tushar Deshpande,2,0,Good,off side,long-on
19.1," Tushar Deshpande to Hetmyer, FOUR, half-volley outside off, Hetmyer stays deep and back, smashes it over Tushar Deshpande and straight down the ground ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Tushar Deshpande,4,0,undefined,off side,straight
18.6," Akash Singh to Dhruv Jurel, out Caught by Shivam Dube!! The wide full-toss outside off works. Dhruv Jurel shuffles across and miscues it to long-off. They check for the height but it's below the waist so RR lose the review for they were the ones reviewing it. Dhruv Jurel c Shivam Dube b Akash Singh 4(6) ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Dhruv Jurel, Akash Singh,out,out,Full toss,wide,long-off
18.5," Akash Singh to Hetmyer, 1 run, full outside off, Hetmyer lofts to wide long-on, more off the inner half of the bat ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Akash Singh,1,0,Full,off side,long-on
18.4," Akash Singh to Hetmyer, SIX, Akash Singh misses the yorker, a high full-toss outside off, Hetmyer stays back and flat-bats the loft over the leaping long-on ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Hetmyer, Akash Singh,6,0,yorker,off side,long-on
18.3," Akash Singh to Dhruv Jurel, 1 run, full and wide outside off, Dhruv Jurel lofts to long-off without any timing ",1st Inns,17t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Sisanda Magala, Maheesh Theekshana, Tushar Deshpande, Akash Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Kuldeep Sen, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Rajasthan Royals Subs: Riyan Parag, Donavon Ferreira, KM Asif, Adam Zampa, Joe Root",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 12,2023",Chennai Super Kings have won the toss and have opted to field,Rajasthan Royals won by 3 runs,Ravichandran Ashwin,CSK,field,RR,CSK,Dhruv Jurel, Akash Singh,1,0,Full,wide,long-off
