ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team
19.6,"Shami to Nortje, FOUR, banged in short, Nortje advances, makes room and flat-bats it over mid-off! Lowest 1st innings total in IPL 2023",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
19.5," Shami to Nortje, no run, 140.2kph, short of length delivery that zips through to the keeper as Nortje slashes and misses ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
19.4," Shami to Axar, out Caught by Miller!! Doesn't get hold of this, and perishes! Full and wide at 142kph, Axar goes hard at it and slices it off the outside half. Miller takes it easily at sweeper cover. Axar c Miller b Shami 36(22) [4s-2 6s-3] ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
19.3," Shami to Axar, 2 runs, slower length ball on middle, Axar backs away and flat-bats it down the ground. Hasn't timed it well but has struck it very straight. Work for long-on to do, giving Axar enough time to get back for two ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
19.2," Shami to Axar, no run, pulls again but mistimes it to deep midwicket ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
19.1," Shami to Axar, SIX, one-handed six from Axar! Pant, who's in attendance, would be proud! Back of a length outside off, Axar reaches out, his bottom hand comes off but he pulls it over wide long-on ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
18.6," Rashid Khan to Axar, 1 run, slightly short on leg, Axar pulls hard through square leg and is happy with one! There was an easy two on offer with the fielder making a tumbling stop. But Axar wants to keep strike ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
18.5," Rashid Khan to Kuldeep Yadav, 1 run, dances down and lunges towards the ball after being nowhere near the pitch of it! Somehow knocks it down to long-off ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
18.4," Rashid Khan to Aman Hakim Khan, out Caught by Hardik Pandya!! Full around off, Aman looks to slog across the line but it's the leg-break from Rashid this time! It takes the leading edge and goes high in the air. Comfortably held by Pandya at extra cover! Aman Hakim Khan c Hardik Pandya b Rashid Khan 8(8) [6s-1] ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
18.3," Rashid Khan to Aman Hakim Khan, SIX, Aman finally makes good contact after a scratchy start! Googly on leg, he gets down low and nails the slog-sweep over midwicket ",1st Inns,7th,Delhi Capitals,Gujarat Titans,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Aman Hakim Khan, Anrich Nortje, Mukesh Kumar","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Hardik Pandya(c), David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Delhi Capitals Subs: Lalit Yadav, Rovman Powell, Chetan Sakariya, Manish Pandey, Khaleel Ahmed","Gujarat Titans Subs: Sai Kishore, Vijay Shankar, Jayant Yadav, Abhinav Manohar, Srikar Bharat",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 04,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Sai Sudharsan,GT,field,DC,GT
