ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.4," Meredith to Nortje, out Bowled!! Full, fast, and accurate! Nortje makes room andtries to open up the off-side. Misses it completely and the leg stump goes for a cartwheel. Nortje b Meredith 5(3) [4s-1] ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Nortje, Meredith,out,out,Full,stump line
19.3," Meredith to Nortje, FOUR, Nortje charges down the track and Meredit follows him with an off-cutter. Heaved away past deep midwicket for a boundary ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Nortje, Meredith,4,0,undefined,undefined
19.2," Meredith to Mustafizur, 1 run, a very full ball at 142kph outside off, jammed through point for a run ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Mustafizur, Meredith,1,0,Full,off side
19.1," Meredith to Nortje, 1 run, on a length at 141kph on off, slapped away to sweeper cover for a run ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Nortje, Meredith,1,0,Good,off side
18.6," Behrendorff to Abishek Porel, out Caught by Green!! Fourth wicket in this over! Behrendorff is getting the rewards. Abishek Porel walks down the track trying to upset the bowler. He stays calm and bowls a pacy ball on leg. Abishek Porel tries to go over mid-off but miscues it completely. Green at mid-off backtracks a bit and catches it. Abishek Porel c Green b Behrendorff 1(3) ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Abishek Porel, Behrendorff,out,out,undefined,leg side
18.5," Behrendorff to Abishek Porel, no run, dot ball! Shortish ball outside off, Abishek Porel goes for a pull across the line but misses ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Abishek Porel, Behrendorff,0,0,Short,off side
18.4," Behrendorff to Kuldeep Yadav, out Kuldeep Yadav Run Out!! Brilliant from Wadhera! Top effort and it pays divindends. On a length, tucked towards mid-on. Wadhera runs in from mid-wicket, picks up the ball with his left hand. Shifts the ball to his right hand and hits the bull's eye. Only had one stump to aim at and he succeeded. Kuldeep Yadav was nowhere in the frame. Kuldeep Yadav run out (Nehal Wadhera) 0(1) ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Kuldeep Yadav, Behrendorff,out,out,Good,undefined
18.3,"Behrendorff to Warner, out Caught by Riley Meredith!! A leg-cutter on leg, Warner swings across the line but gets a big edge behind towards backward point. Meredith runs in a bit, and pouches it safely. Warner c Riley Meredith b Behrendorff 51(47) [4s-6]",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Warner,Behrendorff,out,out,undefined,leg side
18.2," Behrendorff to Abishek Porel, 1 run, back of a length ball outside off, punched down to long-off for a single ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Abishek Porel, Behrendorff,1,0,Back of Length,off side
18.1," Behrendorff to Axar, out Caught by Arshad Khan!! Axar departs but not before playing a brilliant knock! He changed the flow of the game with his ball-striking. In the slot, Axar whips it nicely and uppishly towards deep backward square leg. Arshad Khan moves to his left, gets low and takes a good catch. Axar c Arshad Khan b Behrendorff 54(25) [4s-4 6s-5] ",1st Inns,16t,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner(c), Manish Pandey, Yash Dhull, Rovman Powell, Lalit Yadav, Axar Patel, Abishek Porel(w), Kuldeep Yadav, Anrich Nortje, Mustafizur Rahman","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Nehal Wadhera, Hrithik Shokeen, Riley Meredith, Arshad Khan, Piyush Chawla, Jason Behrendorff","Delhi Capitals Subs: Aman Khan, Mukesh Kumar, Sarfaraz Khan, Praveen Dubey, Ishant Sharma","Mumbai Indians Subs: Tristan Stubbs, Tim David, Kumar Karthikeya, Arjun Tendulkar, Ramandeep Singh",IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 11,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 6 wkts,Rohit Sharma,MI,field,DC,MI,Axar, Behrendorff,out,out,Slot,undefined
