Unnamed: 0,ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
0,19.6," Joshua Little to Dhoni, 1 run, CSK finish with 178/7! Dhoni swipes this over square leg with a powerful pull, but the lack of pace and bounce doesn't allow him to middle it. Just a single to end the innings ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Joshua Little,1,0
1,19.5," Joshua Little to Dhoni, no run, slower one outside off, keeps a touch low, Dhoni swings and misses ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Joshua Little,0,0
2,19.4," Joshua Little to Dhoni, FOUR, and now Hardik Pandya looks annoyed, not at all happy. This was on the pads and MSD flicked it over square leg for a boundary, no one in the deep so there was no chance to stop it ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Joshua Little,4,0
3,19.3," Joshua Little to Dhoni, SIX, and MSD makes sure to bring the roof down! Doesn't disappoint his fans and those chants. Typical Dhoni. Back of a length delivery by Joshua Little and the boss has dispatched this over deep square with a ferocious pull. The crowd goes even louder, even wilder ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Joshua Little,6,0
4,19.2," Joshua Little to Santner, leg byes, 1 run, fired on leg, a quick full toss that clips Santner's pads and rolls to square leg ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Santner, Joshua Little,byes,1
5,19.1," Joshua Little to Dhoni, 1 run, width on offer and it has been slashed through cover by MS ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Joshua Little,1,0
6,18.6," Shami to Dhoni, 1 run, short ball by Shami to end an impressive spell and Dhoni pulls it through the leg-side for a single ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Dhoni, Shami,1,0
7,18.5," Shami to Santner, 1 run, short and quick on middle and leg, nudged to long-on for a single as Santner got cramped for room again ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Santner, Shami,1,0
8,18.4," Shami to Santner, no run, pats this back to the bowler as Shami cramps him up ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Santner, Shami,0,0
9,18.3," Shami to Shivam Dube, out Caught by Rashid Khan!! Shami's a strike bowler and he'll continue to be one. That's a comeback you can expect from him. Conceded a six against a short ball just on the last ball, and he challenges the batter with another short one. Shivam Dube goes for a pull just like he did on the last ball, but this time he ends up getting a top edge. Straight to Rashid at deep square leg and he's not going to miss out on those. Shivam Dube c Rashid Khan b Shami 19(18) [6s-1] ",1st Inns,1st,Gujarat Titans,Chennai Super Kings,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Kane Williamson, Hardik Pandya(c), Vijay Shankar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Joshua Little, Yash Dayal, Alzarri Joseph","Chennai Super Kings (Playing XI): Devon Conway, Ruturaj Gaikwad, Moeen Ali, Ben Stokes, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Mitchell Santner, Deepak Chahar, Rajvardhan Hangargekar","Gujarat Titans Subs: B Sai Sudharsan, Jayant Yadav, Mohit Sharma, Abhinav Manohar, KS Bharat","Chennai Super Kings Subs: Tushar Deshpande, Subhranshu Senapati, Shaik Rasheed, Ajinkya Rahane, Nishant Sindhu",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Mar 31,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 5 wkts,Rashid Khan,GT,field,CSK,GT,Shivam Dube, Shami,out,out
