ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6," Thakur to Shankar, leg byes, 1 run, finally Thakur lands one well, follows Shankar outside the leg-stump, with a full ball, Shankar is cramped and can't get the bat before the pad to flick, flicks the pad and they take one to Gurbaz ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Thakur,byes,1,Full,undefined,
19.5," Thakur to Shankar, SIX, wow! Hat-trick of sixes. Length ball outside off, cannon-fodder for Shankar who heaves and just clears deep mid-wicket, Miller punches gloves and hugs Shankar. The 200 is up as well ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Thakur,6,0,Good,off side,mid-wicket
19.4," Thakur to Shankar, SIX, the knuckle-ball slower ball but too full on the stumps, Shankar again holds his shape and lofts over long-on. Thakur can only turn around and walk back, head down ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Thakur,6,0,Full,stump line,long-on
19.3," Thakur to Shankar, SIX, Shankar reaches a 21-ball fifty. This time the back of a length delivery on off is a sitting duck for Shankar who hammers the pull over deep mid-wicket, was waiting for it and despatched it ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Thakur,6,0,Back of Length,off side,mid-wicket
19.2," Thakur to Shankar, no run, Shankar did not know where the ball went, short of length outside off, rushed him on the pull, he toe-ended it to cover and as he made a 360-degree turn, he saw the ball in the fielder's hand. No chance of a single too ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Thakur,0,0,Short,off side,cover
19.1," Thakur to Miller, 1 run, back of a length on the stumps, Miller pulls to square leg and a fumble from Suyash helps ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Miller, Thakur,1,0,Back of Length,stump line,square leg
18.6,"Ferguson to Shankar, SIX, Shankar is finishing this off superbly. What a knock so far from him. Poor ball from Ferguson though, slower leg-cutter outside off, full and in the slot, Shankar lofts clean and over long-off",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar,Ferguson,6,0,Full,off side,long-off
18.5," Ferguson to Miller, leg byes, 1 run, slower ball on a good length and it deceives Miller, who works and misses, rapped on the pads but going down leg ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Miller, Ferguson,byes,1,Good,stump line,
18.4," Ferguson to Shankar, 1 run, back of a length on the stumps, Shankar pulls to long-on ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Ferguson,1,0,Back of Length,stump line,long-on
18.3," Ferguson to Shankar, FOUR, even Miller is impressed by Shankar's hitting! Pats the Indian allrounder on the helmet as he eggs him on, a wide slower ball full, Shankar reaches for it, opens the face of the bat and slices it over backward point ",1st Inns,13t,Gujarat Titans,Kolkata Knight Riders,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Sai Sudharsan, Vijay Shankar, David Miller, Rahul Tewatia, Abhinav Manohar, Rashid Khan(c), Mohammed Shami, Alzarri Joseph, Yash Dayal","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), N Jagadeesan, Nitish Rana(c), Rinku Singh, Andre Russell, Sunil Narine, Shardul Thakur, Suyash Sharma, Lockie Ferguson, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans Subs: Jayant Yadav, Srikar Bharat, Mohit Sharma, Matthew Wade, Joshua Little","Kolkata Knight Riders Subs: Anukul Roy, Vaibhav Arora, David Wiese, Mandeep Singh, Venkatesh Iyer",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 09,2023",Gujarat Titans have won the toss and have opted to bat,Kolkata Knight Riders won by 3 wkts,Rinku Singh,GT,bat,GT,KKR,Shankar, Ferguson,4,0,Full,wide,backward point
