ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Russell to Gowtham, FOUR, low full toss outside off, Gowtham throws his bat on the drive and does well to play it with a slightly open bat face. Beats extra cover to his left and the fielder in the deep had no chance... ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Gowtham, Russell,4,0,Full
19.5," Russell to Gowtham, SIX, hits the shorter length and right into the hitting arc of Krishnappa Gowtham, he swivels on the back foot and smokes it for a 76-metre maximum over mid-wicket ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Gowtham, Russell,6,0,Short
19.4," Russell to Gowtham, no run, slower full delivery angling across the right-hander, Gowtham was in two minds whether to play the flick or scoop and gets beaten completely... ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Gowtham, Russell,0,0,Full
19.3," Russell to Naveen-ul-Haq, leg byes, 1 run, Naveen-ul-Haq walks across and tries to scoop a full ball over the keeper, misses and deflects it off the pad to the left of the keeper ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Naveen-ul-Haq, Russell,byes,1,Full
19.2," Russell to Gowtham, 1 run, 130ks low full toss on the pads, Gowtham heaves it to the right of long-on ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Gowtham, Russell,1,0,Full
19.1," Russell to Naveen-ul-Haq, 1 run, 133ks full at the stumps, Naveen-ul-Haq tries a MSD-like helicopter flick and ends up mistiming it towards long-on ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Naveen-ul-Haq, Russell,1,0,Full
18.6," Thakur to Naveen-ul-Haq, 1 run, walks down the pitch and chips the short of length delivery into the off-side for a quick single ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Naveen-ul-Haq, Thakur,1,0,Short
18.5," Thakur to Ravi Bishnoi, out Bowled!! You miss I hit. 132ks seam-up delivery that held up slightly on the surface to beat the booming bat swing of Ravi Bishnoi. Misses it completely and the ball smacks the top of off. Ravi Bishnoi b Thakur 2(2) ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Ravi Bishnoi, Thakur,out,out,undefined
18.4," Thakur to Ravi Bishnoi, 2 runs, yorker on the stumps, Ravi Bishnoi squeezes it off the cue end to the right of mid-wicket and hurries back to complete the second ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Ravi Bishnoi, Thakur,2,0,yorker
18.4," Thakur to Ravi Bishnoi, wide, bumper just outside off, Ravi Bishnoi hops and misses out on the pull. Given wide for height... ",1st Inns,68t,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Shardul Thakur, Sunil Narine, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Lucknow Super Giants (Playing XI): Quinton de Kock(w), Karan Sharma, Prerak Mankad, Marcus Stoinis, Nicholas Pooran, Krunal Pandya(c), Ayush Badoni, Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Kolkata Knight Riders Subs: Suyash Sharma, Mandeep Singh, Anukul Roy, N Jagadeesan, David Wiese","Lucknow Super Giants Subs: Kyle Mayers, Yash Thakur, Daniel Sams, Yudhvir Singh Charak, Deepak Hooda",IPL,2023,"Eden Gardens,Kolkata","May 20,2023",Kolkata Knight Riders have won the toss and have opted to field,Lucknow Super Giants won by 1 run,Nicholas Pooran,KKR,field,LSG,KKR,Ravi Bishnoi, Thakur,wide,1,undefined
