ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match
19.6," Siraj to Umesh Yadav, 2 runs, top-edges the pull and it lands well wide of the rushing Siraj to his right at mid-wicket, he slips on the slide and enables an easy second for the duo ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
19.5," Siraj to Umesh Yadav, FOUR, when Umesh Yadav hits, it stays hit. Gives it all on this mighty hack and he's got enough power to clear mid-off. 200 up for KKR ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
19.4," Siraj to Thakur, out Caught by Maxwell!! One-handed six? Nope. Gone. Siraj digs in the slower ball bumper, gets a tennis-ball like bounce and it messes up with the timing of Shardul Thakur. Looks for the pull and the bottom hand comes off the blade before completing the bat swing, loops up off the top-edge and Maxi settles under it at long-on. Thakur c Maxwell b Siraj 68(29) [4s-9 6s-3] ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
19.3," Siraj to Narine, leg byes, 1 run, Narine looks to slog and misses, the ball deflects high off the front pad to the right of short third ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
19.2," Siraj to Thakur, 1 run, shortens the length outside off, Shardul slices it to the left of sweeper cover ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
19.1," Siraj to Thakur, FOUR, full toss outside off, Shardul slaps it over extra cover with disdain. Gee, this lad's got some bottom hand power... ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
18.6," Harshal Patel to Rinku Singh, out Caught by Karthik!! No celebrations in the RCB camp. Rinku Singh almost waits for umpire Virender Sharma to raise his finger. Walks off reluctantly. A straightforward decision that. Slower short ball dug into the surface, extracts plenty of bounce and snicks the glove on the attempted pull. Lobs up comfortably for DK behind the stumps. Rinku Singh c Karthik b Harshal Patel 46(33) [4s-2 6s-3] ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
18.5," Harshal Patel to Rinku Singh, no run, slower full delivery outside off, Rinku looks to force it through the off-side and toe-ends it to the left of the bowler ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
18.4," Harshal Patel to Rinku Singh, SIX, flat six! Brings up the 100-run stand as well. Advances, fetches the slower length delivery from outside off and wallops it neatly over wide long-on ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
18.4," Harshal Patel to Rinku Singh, wide, slower length delivery that cuts away past the tramline outside off as Rinku swings and misses ",KKR Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur
