ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Sakariya to Gowtham, SIX, slower one outside off, the impact sub makes an impression! He gets under it and smashes it over wide long-on to finish the innings with a maximum ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Gowtham, Sakariya,6,0,undefined,off side,long-on,,,
19.5," Sakariya to Ayush Badoni, out Caught by Sarfaraz Khan!! Ayush Badoni premeditates and shuffles across. Sakariya does well to follow him with an off-cutter. He tries to scoop it over the keeper but gets it high on the bat. Sarfaraz Khan moves to his left and pouches it safely. Ayush Badoni c Sarfaraz Khan b Sakariya 18(7) [4s-1 6s-2] ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Sakariya,out,out,undefined,undefined,keeper,cut shot,,"Catch out , sarfaraz khan"
19.4," Sakariya to Ayush Badoni, SIX, Ayush Badoni is turning on the heat! Sakariya comes from over the wicket but bowls a slower ball in the slot. Ayush Badoni gets under it and heaves it over long-on for another maximum. Axar is not happy ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Sakariya,6,0,Slot,undefined,long-on,,,
19.3," Sakariya to Ayush Badoni, SIX, this youngster certainly packs a punch! Length ball outside off, angling in, Ayush Badoni smokes it over cow corner for a massive maximum, 97m to be precise ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Sakariya,6,0,Good,off side,cow corner,,,
19.3," Sakariya to Ayush Badoni, wide, short ball outside off, tennis-ball like bounce on that one. Ayush Badoni was looking to pull it across but bails out at the last moment. Wided for height ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Sakariya,wide,1,Short,wide,,wide,,
19.2," Sakariya to Krunal Pandya, 1 run, pitched up ball around off, Krunal Pandya mistimes his hit towards long-on ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Krunal Pandya, Sakariya,1,0,undefined,undefined,long-on,,,
19.2," Sakariya to Krunal Pandya, wide, Sakariya slants this slower one too wide outside off and it's beyond the tramline. It has been wided ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Krunal Pandya, Sakariya,wide,1,undefined,wide,,wide,,
19.1," Sakariya to Ayush Badoni, 1 run, a well-executed slower full ball that dips on Ayush Badoni. Driven towards mid-on for only a single ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Sakariya,1,0,Full,undefined,mid-on,on drive,,
18.6," Khaleel Ahmed to Ayush Badoni, 1 run, pitched up ball around off, Ayush Badoni smashes it uppishly but picks out sweeper cover on the bounce to keep strike ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Khaleel Ahmed,1,0,undefined,undefined,sweeper,,,
18.6," Khaleel Ahmed to Ayush Badoni, wide, An off-cutter on a shortish length, it grips after pitching and cuts across Ayush Badoni. He was looking to open up the off-side but lets it go. Warner doesn't take the review for the wide and has a smile on his face ",1st Inns,3rd,Lucknow Super Giants,Delhi Capitals,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Marcus Stoinis, Deepak Hooda, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Mark Wood, Jaydev Unadkat, Ravi Bishnoi, Avesh Khan","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Mitchell Marsh, Rilee Rossouw, Sarfaraz Khan(w), Rovman Powell, Axar Patel, Kuldeep Yadav, Chetan Sakariya, Khaleel Ahmed, Mukesh Kumar","Lucknow Super Giants subs: Prerak Mankad, Krishnappa Gowtham, Yash Thakur, Daniel Sams, Amit Mishra.","Delhi Capitals subs: Aman Hakim Khan, Manish Pandey, Praveen Dubey, Lalit Yadav, Abishek Porel.",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 01,2023",Delhi Capitals have won the toss and have opted to field,Lucknow Super Giants won by 50 runs,Mark Wood,DC,field,LSG,DC,Ayush Badoni, Khaleel Ahmed,wide,1,Short,wide,off-side,wide,,
