ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6,"Stoinis to Miller, out Caught by Hooda!! A wicket to end the innings - Slower balls are tough to get away and Miller struggled to get them away in his brief innings, came down the pitch, let Stoinis push the slower ball across him, had to reach out on the shovel and toe-ended it down to Hooda at long-on. GT finish with 135 as Stoinis gets his 100th T20 wicket. Miller c Hooda b Stoinis 6(12)",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Miller,Stoinis,out,out,undefined,undefined,down the pitch
19.5," Stoinis to Rahul Tewatia, 1 run, another slower ball, pushed across the left-hander, dragged down to long-on for a single ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Rahul Tewatia, Stoinis,1,0,undefined,undefined,long-on
19.4," Stoinis to Miller, 1 run, slower short ball outside off, Miller had to reach out on the pull and drags it down to long-on for a single ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Miller, Stoinis,1,0,Short,off side,long-on
19.3," Stoinis to Rahul Tewatia, 1 run, on a good length and wide of off, driven past cover for a single ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Rahul Tewatia, Stoinis,1,0,Good,wide,cover
19.2," Stoinis to Hardik Pandya, out Caught by Rahul!! The Hardik show comes to an end - slower short ball on off, Hardik backed away on the pull, was hitting it to the longer part of the ground, doesn't get enough power behind the shot, went flat and straight down KL's throat at long-on, end of a fine innings from GT's captain, but is it match-winning? Hardik Pandya c Rahul b Stoinis 66(50) [4s-2 6s-4] ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Hardik Pandya, Stoinis,out,out,Short,off side,straight
19.1," Stoinis to Hardik Pandya, SIX, clubbed, Hardik is making up for the slow start - back of a length and at the stumps, was bowled into the surface, but Hardik has enough time to rock back and club it over mid-wicket for a maximum ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Hardik Pandya, Stoinis,6,0,Back of Length,stump line,mid-wicket
18.6," Naveen-ul-Haq to Miller, 2 runs, just 5 off the over, slower ball outside off and Miller dragged the drive towards long-on - Hardik Pandya wanted strike for the next over and he was always sprinting back. A direct hit would've had him well short, but Naveen-ul-Haq is quite far from the stumps, he has to gather and then break the wickets, giving Hardik enough time to make his ground. The 3rd umpire has a look ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Miller, Naveen-ul-Haq,2,0,Short,off side,long-on
18.5," Naveen-ul-Haq to Miller, no run, this is excellent bowling from Naveen-ul-Haq, was another slower short ball, Miller is caught in two minds and ends up letting it go ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Miller, Naveen-ul-Haq,0,0,Short,undefined,
18.4," Naveen-ul-Haq to Miller, no run, another slower short ball outside off, no pace to work with, Miller is way too early on the pull and missed ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Miller, Naveen-ul-Haq,0,0,Short,off side,
18.3," Naveen-ul-Haq to Hardik Pandya, 1 run, slower short ball outside off, Hardik Pandya flat-bats it down to long-off for a single ",1st Inns,30t,Lucknow Super Giants,Gujarat Titans,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Krunal Pandya, Nicholas Pooran(w), Ayush Badoni, Naveen-ul-Haq, Amit Mishra, Avesh Khan, Ravi Bishnoi","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Lucknow Super Giants Subs: Jaydev Unadkat, Krishnappa Gowtham, Daniel Sams, Prerak Mankad, Karan Sharma","Gujarat Titans Subs: Joshua Little, Jayant Yadav, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 22,2023",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 7 runs,Mohit Sharma,GT,bat,GT,LSG,Hardik Pandya, Naveen-ul-Haq,1,0,Short,off side,long-off
