ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed
19.6," Yash Thakur to Nehal Wadhera, out Caught by Ravi Bishnoi!! A low full-toss outside off, Nehal Wadhera lofts and picks out deep extra-cover. Bishnoi won't drop that. Hit that well but picked out the fielder. Nehal Wadhera c Ravi Bishnoi b Yash Thakur 23(12) [4s-2 6s-2] ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,out,out,Full toss,off side,cover,,
19.5," Yash Thakur to Nehal Wadhera, no run, Yash Thakur back over the wicket now. Again the wide line outside off, Nehal Wadhera shuffles across and looks to sweep, misses. A precious dot ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,0,0,undefined,wide,,beaten,
19.4," Yash Thakur to Nehal Wadhera, FOUR, brilliant batting and Pandya wears a concerned look. Runs to Yash Thakur to have a word. A low full-toss outside off, Wadhera shuffles across and sweeps wide of backward square leg inside the ring. Such crucial runs ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,4,0,Full toss,off side,square leg,,
19.3," Yash Thakur to Nehal Wadhera, SIX, my word! Into the second tier at deep square leg. Was the short boundary and Nehal Wadhera has picked the bones out of it. A back of a length delivery angling into Wadhera who swings way back ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,6,0,Short,undefined,deep square,,
19.2," Yash Thakur to Nehal Wadhera, no run, dug in short outside off, Nehal Wadhera crouches low and tries to ramp it, misses, a loud grunt of frustration from Wadhera ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,0,0,Short,off side,,beaten,
19.1," Yash Thakur to Nehal Wadhera, FOUR, slower ball outside off, fuller length and Nehal Wadhera shuffles across to get down for the sweep, gets good bat on it and finds the deep backward square leg fence ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Nehal Wadhera, Yash Thakur,4,0,Full,off side,deep backward square,,
18.6," Mohsin Khan to Hrithik Shokeen, no run, superb over this. On a length and across Hrithik Shokeen who swings and misses outside off ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Hrithik Shokeen, Mohsin Khan,0,0,Good,off side,,beaten,
18.5," Mohsin Khan to Jordan, out Caught by Hooda!! The slower ball across Jordan gets Mohsin Khan a wicket. Jordan swings and totally miscues it off the thick inner half, easy catch for Hooda at long-on as he judges the skier with no alarms. Jordan c Hooda b Mohsin Khan 4(7) ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Jordan, Mohsin Khan,out,out,undefined,undefined,long-on,,
18.4," Mohsin Khan to Jordan, 2 runs, length delivery outside off, Jordan this time gets bat on it, lofts over extra-cover and wide of sweeper cover for two ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Jordan, Mohsin Khan,2,0,Good,off side,cover,,
18.3," Mohsin Khan to Jordan, no run, full and seam-up outside off, angled across Jordan who swings and misses ",1st Inns,Eli,Lucknow Super Giants,Mumbai Indians,"Lucknow Super Giants (Playing XI): Ayush Badoni, Deepak Hooda, Prerak Mankad, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, Mohsin Khan","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Tilak Varma, Chris Jordan, Hrithik Shokeen, Piyush Chawla, Jason Behrendorff, Akash Madhwal","LSG Impact Subs: Kyle Mayers, Daniel Sams, Yudhvir Singh, Swapnil Singh, Amit Mishra.","MI Impact Subs: Ramandeep Singh, Kumar Kartikeya, Vishnu Vinod, Nehal Wadhera, Sandeep Warrier.",IPL,2023,"MA Chidambaram Stadium,Chennai","May 24,2023",Mumbai Indians have won the toss and have opted to bat,Mumbai Indians won by 81 runs,Akash Madhwal,MI,bat,MI,LSG,Jordan, Mohsin Khan,0,0,Full,off side,,beaten,
